Nodes,Abbr.,MNI coordinates,MNI coordinates,MNI coordinates
Unnamed: 0_level_1,Unnamed: 1_level_1,x,y,z
left inferior orbitofrontal cortex,ORBinf.L,–35.98,30.71,–12.11
left superior orbitofrontal cortex,ORBsup.L,–16.56,47.32,–13.31
right superior orbitofrontal cortex,ORBsup.R,18.49,48.1,–14.02
left middle orbitofrontal cortex,ORBmid.L,–30.65,50.43,–9.62
right gyrus rectus,REC.R,8.35,35.64,–18.04
left middle temporal cortex,MTG.L,–55.52,–33.8,–2.2
left amygdala,AMYG.L,–23.27,–0.67,–17.14
right amygdala,AMYG.R,27.32,0.64,–17.5
left caudate,CAU.L,–11.46,11,9.24
right caudate,CAU.R,14.84,12.07,9.42
left olfactory cortex,OLF.L,–8.06,15.05,–11.46
