ROIs,Regions,MNI coordinates,MNI coordinates,MNI coordinates,voxels,T value
Unnamed: 0_level_1,Unnamed: 1_level_1,X,Y,Z,Unnamed: 5_level_1,Unnamed: 6_level_1
R Lingual,B Cuneus (62%),−12,−63,0,"1,168",4.315
R Lingual,Precuneus (23%),,,,,
R Lingual,Posterior Cingulate (15%),,,,,
R Lingual,L Post-central Gyrus,−18,−51,60,108,4.435
L Lingual,B Cuneus (42%),−18,−54,0,"1,096",4.424
L Lingual,Lingual Gyrus (19%),,,,,
L Lingual,Precuneus (28%),,,,,
L Lingual,Posterior Cingulate (11%),,,,,
L Lingual,L Post-central Gyrus (62%),−9,−12,39,610,-4.127
L Lingual,Pre-central Gyrus (37%),,,,,
R Insula,R Anterior Cingulate (52%),9,6,6,593,4.622
R Insula,Medial Frontal Gyrus (47%),,,,,
R Insula,B Pre-central Gyrus (45%),−3,3,42,"4,697",5.113
R Insula,Post-central Gyrus (30%),,,,,
R Insula,L Superior Temporal Gyrus (25%),,,,,
R Insula,L Precuneus (37%),−21,−78,18,411,4.815
R Insula,Posterior Cingulate (34%),,,,,
R Insula,Cuneus (29%),,,,,
L Insula,R Superior Temporal Gyrus (53%),45,−6,12,419,4.42
L Insula,Insula (31%),,,,,
L Insula,Middle Temporal Gyrus (16%),,,,,
L Insula,L Superior Temporal Gyrus (62%),−42,−36,6,465,4.89
L Insula,Middle Temporal Gyrus (38%),,,,,
L Insula,B Pre-central Gyrus (49%),39,−15,69,"2,337",4.758
L Insula,L Post-central Gyrus (29%),,,,,
L Insula,Medial Frontal Gyrus (22%),,,,,
R Cuneus,B Cuneus (49%),−15,−63,0,"1,203",4.924
R Cuneus,Precuneus (22%),,,,,
R Cuneus,Posterior Cingulate (29%),,,,,
R Cuneus,L Post-central Gyrus (62%),−30,−30,69,166,-3.512
R Cuneus,Pre-central Gyrus (38%),,,,,
L Cuneus,B Cuneus (44%),0,−84,27,"1,301",4.699
L Cuneus,Lingual Gyrus (20%),,,,,
L Cuneus,Precuneus (20%),,,,,
L Cuneus,Posterior Cingulate (16%),,,,,
L Cuneus,L Post-central Gyrus (44%),−12,−42,51,342,4.015
L Cuneus,Precuneus (30%),,,,,
L Cuneus,Pre-central Gyrus (26%),,,,,
R Pre-central,L Pre-central Gyrus (52%),−60,−3,12,472,4.763
R Pre-central,Superior Temporal Gyrus (28%),,,,,
R Pre-central,Post-central Gyrus (20%),,,,,
R Pre-central,R Pre-central Gyrus (48%),63,−9,24,366,-4.314
R Pre-central,Insula (28%),,,,,
R Pre-central,Post-central Gyrus (24%),,,,,
R Pre-central,L Superior Temporal Gyrus,−63,−51,12,73,-3.757
L Pre-central,L Pre-central Gyrus (39%),−60,−6,12,569,5.25
L Pre-central,Superior Temporal Gyrus (37%),,,,,
L Pre-central,Post-central Gyrus (14%),,,,,
L Pre-central,Insula (10%),,,,,
L Pre-central,R Pre-central Gyrus (52%),54,−6,−12,580,4.688
L Pre-central,Post-central Gyrus (18%),,,,,
L Pre-central,Insula (15%),,,,,
L Pre-central,Superior Temporal Gyrus (15%),,,,,
R Post-central,R Insula,42,−18,−3,19,3.215
R Post-central,R Pre-central Gyrus (29%),51,−24,18,538,4.332
R Post-central,Insula (27%),,,,,
R Post-central,Post-central Gyrus (24%),,,,,
R Post-central,Superior Temporal Gyrus (20%),,,,,
R Post-central,L Pre-central Gyrus (43%),−48,−30,21,716,4.41
R Post-central,Superior Temporal Gyrus (20%),,,,,
R Post-central,Post-central Gyrus (15%),,,,,
R Post-central,Insula (12%),,,,,
R Post-central,Inferior Parietal Lobule (10%),,,,,
L Post-central,R Post-central Gyrus (30%),51,−24,18,590,-4.438
L Post-central,Superior Temporal Gyrus (30%),,,,,
L Post-central,Insula (24%),,,,,
L Post-central,Pre-central Gyrus (16%),,,,,
L Post-central,L Cuneus (58%),−15,−54,−6,450,-4.3065
L Post-central,Lingual Gyrus (54%),,,,,
L Post-central,Precuneus (18%),,,,,
L Post-central,R Parahippocampa Gyrus,33,−48,−6,196,-4.1728
L Post-central,L Superior Temporal Gyrus (55%),−45,−33,9,861,-4.5953
L Post-central,Pre-central Gyrus (16%),,,,,
L Post-central,Post-central Gyrus (15%),,,,,
L Post-central,Middle Temporal Gyrus (14%),,,,,
