Unnamed: 0,Site,Group,Group # (females #),Mean age,s.d. age,Selected for leave-site-out CV
Abide II,ABIDEII-KKI_1,CON,26 (6),10.49,1.51,Yes
Abide II,ABIDEII-KKI_1,ASD,88 (34),10.36,1.20,Yes
Abide II,ABIDEII-NYU_1,CON,45 (4),10.25,5.87,No
Abide II,ABIDEII-NYU_1,ASD,29 (2),9.52,3.38,No
Abide II,ABIDEII-OHSU_1,CON,22 (3),11.55,2.22,Yes
Abide II,ABIDEII-OHSU_1,ASD,42 (21),10.45,1.68,Yes
Abide II,ABIDEII-SDSU_1,CON,32 (7),13.06,3.19,No
Abide II,ABIDEII-SDSU_1,ASD,24(2),13.07,2.96,No
Abide II,ABIDEII-TCD_1,CON,14 (0),15.29,3.54,No
Abide II,ABIDEII-TCD_1,ASD,18 (0),16.31,2.76,No
Abide II,ABIDEII-UCLA_1,CON,9 (0),11.99,1.76,No
Abide II,ABIDEII-UCLA_1,ASD,9 (4),9.88,2.12,No
Abide II,ABIDEII-USM_1,CON,15 (2),19.16,6.94,No
Abide II,ABIDEII-USM_1,ASD,16 (3),23.98,7.80,No
Abide I,CALTECH,CON,1 (0),20.2,–,No
Abide I,CALTECH,ASD,2 (1),38.5,25.03,No
Abide I,CMU,CON,1 (0),33.0,–,No
Abide I,CMU,ASD,2 (0),27.0,8.49,No
Abide I,KKI,CON,20 (4),10.02,1.45,No
Abide I,KKI,ASD,28 (8),10.01,1.16,No
Abide I,LEUVEN_1,CON,14 (0),21.86,4.11,No
Abide I,LEUVEN_1,ASD,14 (0),23.0,2.83,No
Abide I,LEUVEN_2,ASD,6 (3),14.82,1.25,No
Abide I,MAX_MUN,CON,7 (0),12.86,7.31,No
Abide I,MAX_MUN,ASD,4 (0),14.0,6.16,No
Abide I,NYU,CON,69 (10),14.86,7.28,Yes
Abide I,NYU,ASD,90 (26),15.32,6.04,Yes
Abide I,OHSU,CON,12 (0),11.43,2.18,No
Abide I,OHSU,ASD,13 (0),10.24,1.02,No
Abide I,OLIN,CON,18 (3),16.39,3.47,No
Abide I,OLIN,ASD,13 (2),16.85,3.85,No
Abide I,PITT,CON,9 (0),18.7,7.11,No
Abide I,PITT,ASD,4 (2),24.91,8.11,No
Abide I,SBL,CON,1 (0),35.0,–,No
Abide I,SDSU,CON,12 (1),14.79,1.82,No
Abide I,SDSU,ASD,21 (6),14.11,1.87,No
Abide I,STANFORD,CON,14 (3),9.61,1.48,No
Abide I,STANFORD,ASD,19 (4),9.99,1.64,No
Abide I,TRINITY,CON,21 (0),16.51,2.92,No
Abide I,TRINITY,ASD,25 (0),17.08,3.77,No
Abide I,UCLA_1,CON,41 (6),13.1,2.62,Yes
Abide I,UCLA_1,ASD,28 (4),13.23,2.03,Yes
Abide I,UCLA_2,CON,9 (0),12.67,1.56,No
Abide I,UCLA_2,ASD,4 (2),12.73,0.62,No
Abide I,UM_1,CON,46 (8),12.8,2.37,Yes
Abide I,UM_1,ASD,50 (17),13.95,3.14,Yes
Abide I,UM_2,CON,13 (1),14.88,1.55,No
Abide I,UM_2,ASD,21 (1),16.72,3.97,No
Abide I,USM,CON,43 (0),23.84,8.47,No
Abide I,USM,ASD,23 (0),20.55,8.29,No
Abide I,YALE,CON,28 (8),12.75,3.05,No
Abide I,YALE,ASD,27 (0),12.83,2.69,No
