Index,Brain region,ROI-1,ROI-1,ROI-1,ROI-1,ROI-1,ROI-2,ROI-2,ROI-2,ROI-2,ROI-2
Unnamed: 0_level_1,Unnamed: 1_level_1,Voxel,T value,MNI coordinate,MNI coordinate,MNI coordinate,Voxel,T value,NMI coordinate,NMI coordinate,NMI coordinate
Unnamed: 0_level_2,Unnamed: 1_level_2,Unnamed: 2_level_2,Unnamed: 3_level_2,X,Y,Z,Unnamed: 7_level_2,Unnamed: 8_level_2,X,Y,Z
1,Middle temporal gyrus (BA21_L),,,,,,115.0,2.678,–48,–41,–5
2,Somatosensory Cortex (BA3_L),112.0,–4.962,–44,–32,56.0,,,,,
3,Somatosensory Cortex (BA3_R),105.0,—3.312,30,–32,57.0,,,,,
4,Inferior parietal gyrus (BA40_L),,,,,,97.0,3.680,–47,–62,42
5,Inferior parietal gyrus (BA40_R),106.0,3.526,58,–43,38.0,99.0,3.998,48,–56,34
6,Premotor cortex (BA6_R),117.0,–3.254,14,–18,61.0,84.0,–4.874,16,12,64
7,premotor cortex (BA6_L),101.0,–4.954,–21,–18,62.0,,,,,
8,Dorsolateral prefrontal cortex (BA9R),,,,,,116.0,4.095,18,38,46
9,Dorsolateral prefrontal cortex (BA9L),,,,,,90.0,6.655,–23,32,46
10,Inferior temporal gyrus (BA20R),,,,,,113.0,4.778,48,–8,–36
