Characteristic,CON,HL,TIN,TIN + HL
N,13,12,15,28
Age???,48.8 (11.1),65.1 (6.8),49.3 (9.8),57.3 (11.2)
Education,16.8 (2.1),16.9 (2.6),15.9 (2.1),16.5 (2.5)
Sex,5F/8M,7F/5M,6F/9M,6F/22M
Handedness,12R/1A,10R/2L,12R/3L,26R/2L
Total TFI score,2.5 (2.7),2.8 (4.7),47.2 (17.2),43.4 (32.0)
Pure tone average (left ear),,,,
Low frequency PTA (dB),7.7 (6.3),24.0 (13.1),9.7 (4.2),22.1 (11.3)
High frequency PTA (dB),15.3 (8.9),51.4 (10.7),21.3 (8.9),50.9 (17.9)
Pure tone average (right ear),,,,
Low frequency PTA (dB),6.7 (5.3),25.8 (14.8),9.7 (4.6),22.7 (9.8)
High frequency PTA (dB),15.2 (9.4),52.3 (15.7),20.0 (10.0),50.7 (13.2)
MoCA,28.3 (1.0),26.9 (2.2),27.5 (1.2),27.4 (1.9)
