Seed,Target,Beta,T (14),p-unc,p-FDR
L thalamus,,,,,
,L lateral sensorimotor,0.20,3.86,0.002,0.016*
,R lateral sensorimotor,0.13,2.62,0.02,0.060
,S sensorimotor,0.06,0.93,0.286,0.474
,L putamen,0.14,3.26,0.006,0.026*
,R putamen,0.06,0.94,0.264,0.474
,L caudate,0.13,1.49,0.158,0.356
,R caudate,0.10,1.17,0.262,0.472
,L pallidum,0.05,0.76,0.458,0.516
,R pallidum,0.03,0.66,0.519,0.519
R thalamus,L lateral sensorimotor,0.20,2.87,0.012,0.086
,R lateral sensorimotor,0.17,2.65,0.191,0.086
,S sensorimotor,0.04,0.73,0.475,0.590
,L putamen,0.10,1.61,0.13,0.292
,R putamen,0.06,1.30,0.187,0.337
,L caudate,0.06,0.73,0.475,0.590
,R caudate,0.09,1.10,0.29,0.435
,L pallidum,0.11,2.31,0.036,0.109
,R pallidum,–0.03,–0.45,0.658,0.658
