NC greater than fighters,NC greater than fighters,Non-impaired fighters greater than impaired fighters,Non-impaired fighters greater than impaired fighters
Lobe-Lobe Connections,Fraction %,Lobe-Lobe Connections,Fraction %
Temporal-Frontal,22.92,Temporal-Frontal,28.89
Occipital-Frontal,18.75,Limbic-Frontal,13.33
Temporal-Occipital,18.75,Parietal-Occipital,13.33
Parietal-Occipital,10.42,Temporal-Temporal,13.33
Frontal-Frontal,6.25,Temporal-Limbic,8.89
Temporal-Parietal,6.25,CingulateCortex-Parietal,6.67
CingulateCortex-Temporal,6.25,CingulateCortex-Occipital,4.44
Insula-Frontal,4.17,Temporal-Parietal,4.44
Sub-cortical-Frontal,4.17,Sub-cortical-Frontal,2.22
Parietal-Frontal,2.08,CingulateCortex-Frontal,2.22
,,Parietal-Parietal,2.22
