Site,SWA,HUH,HRC,HKH,COI,KUT,KTT,UTO,ATV,ATV,ATT,ATT,KPU,"OSU, NKN",CIN
MRI scanner,Siemens,GE,GE,Siemens,Siemens,Siemens,Siemens,GE,Siemens,Siemens,Siemens,Siemens,Philips,Siemens,Siemens
MRI scanner,Verio,Signa HDxt,Signa HDxt,Spectra,Verio.Dot,TimTrio,Trio,MR750w,Verio,Verio.1,TimTrio,TimTrio.1,Achieva,TimTrio,TimTrio
Magnetic field strength,3.0 T,3.0 T,3.0 T,3.0 T,3.0 T,3.0 T,3.0 T,3.0 T,3.0 T,3.0 T,3.0 T,3.0 T,3.0 T,3.0 T,3.0 T
No.of channels per coil,12,8,8,12,12,32,8,24,12,12,12,12,8,12,12
"FoV, mm",212,256,256,192,212,212,256 × 192,212,212,212,212,212,192,212,212
Matrix,64 × 64,64 × 64,64 × 64,64 × 64,64 × 64,64 × 64,64 × 48,64 × 64,64 × 64,64 × 64,64 × 64,64 × 64,64 × 64,64 × 64,64 × 64
No. of slices,40,32,32,38,40,40,30,40,39,39,39 or 40,39 or 40,39,40,41
No. of volumes,244,143,143,107,240,240,177,240,240,240,240,240,200,240,240
"In-plane resolution, mm",3.3 × 3.3,4.0 × 4.0,4.0 × 4.0,3.0 × 3.0,3.3 × 3.3,3.3125 × 3.3125,4.0 × 4.0,3.3 × 3.3,3.3 × 3.3,3.3 × 3.3,3.3 × 3.3,3.3 × 3.3,3.0 × 3.0,3.3 × 3.3,3.3 × 3.3
"Slice thickness, mm",3.2,4,4,3,3.2,3.2,4.0,3.2,3.2,3.2,3.2,3.2,3.0,3.2,3.2
"Slice gap, mm",0.8,0,0,0,0.8,0.8,0,0.8,0.8,0.8,0.8,0.8,0,0.8,0.8
"TR, ms","2,500","2,000","2,000","2,700","2,500","2,500","2,000","2,500","2,500","2,500","2,500","2,500","2,000","2,500","2,500"
"TE, ms",30,27,27,31,30,30,30,30,30,30,30,30,30,30,30
"Total scan time, min:s",10:17,4:46,4:46,4:49,10:00,10:00,6:00,10:00,10:00,10:00,10:00,10:00,6:40,10:00,10:00
"Flip angle, deg",80,90,90,90,80,80,90,80,80,80,80,80,80,80,80
Slice acquisition order,Ascending,Ascending,Ascending,Ascending,Ascending,Ascending,Ascending,Ascending,Ascending,Ascending,Ascending,Ascending,Ascending,Ascending,Ascending
Phase encoding,PA,PA,AP,AP,AP,PA,AP,PA,PA,PA,PA,PA,PA,PA,AP
Eyes closed/fixated,Fixated,Fixated,Fixated,Fixated,Fixated,Fixated,Fixated,Fixated,Fixated,Fixated,Fixated,Fixated,Closed,Fixated,Fixated
