Site,ATT/ATV,COI,HUH,HKH,KPM,SWA,KUT,KUS,UTO,UTO,YC1,YC2
MRI scanner,Siemens,Siemens,GE,Siemens,Philips,Siemens,Siemens,Siemens,GE,GE,Philips,Philips
MRI scanner,TimTrio,Verio.Dot,Signa HDxt,Spectra,Achieva,Verio,TimTrio,Skyra,MR750w,MR750w.1,Achieva,Achieva
"FoV, mm",256,240 × 256,256 × 256,240 × 240,256 × 256,256 × 256,225 × 240 (Axial)*2,232 × 256,256 × 256,256 × 256,256 × 256,256 × 256
Matrix,256 × 256,240 × 256,256 × 256,320 × 320,256 × 256,256 × 256,240 × 256,232 × 256,256 × 256,256 × 256,256 × 256,256 × 256
"Voxel size, mm3",1× 1× 1,1× 1× 1,1× 1× 1,0.8× 0.75× 0.75,1× 1× 1,1× 1× 1,0.9375× 0.9375× 1.0,1× 1× 1,1.0000× 1.0156× 1.0156,1.2000× 1.0156× 1.0156,1× 1× 1,1× 1× 1
"TR, ms",2300,2300,6788,1900,7.1,2300,2000,2300,7.7,7.7,6.99,7.01
"TE, ms",2.98,2.98,1.928,2.38,3.31,2.98,3.4,2.98,3.1,3.1,3.176,3.155
"TI, ms",900,900,450,900,502.6,900,990,900,400,400,—,—
"Flip angle, deg",9,9,20,10,10,9,8,9,11,11,9,9
