Atlas,Statistic,p-value,Edges,Nodes
Esketamine < placebo,Esketamine < placebo,Esketamine < placebo,Esketamine < placebo,Esketamine < placebo
Exponentially weighted sliding-window,Exponentially weighted sliding-window,Exponentially weighted sliding-window,Exponentially weighted sliding-window,Exponentially weighted sliding-window
Craddock,Extent,0.004,45,36
Craddock,Intensity,0.002,45,36
Power,Extent,0.017,14,10
Power,Intensity,0.003,14,10
Power,Intensity,0.023,5,6
Multiplication of temporal derivatives,Multiplication of temporal derivatives,Multiplication of temporal derivatives,Multiplication of temporal derivatives,Multiplication of temporal derivatives
Craddock,Extent,0.033,25,19
Craddock,Extent,0.005,57,27
Craddock,Intensity,0.024,25,19
Craddock,Intensity,0.003,57,27
Power,Extent,0.005,23,23
Power,Intensity,0.005,23,23
