Brain region,Abbreviation,Peak coordinate (MNI),Peak coordinate (MNI),Peak coordinate (MNI),T-score,Cluster size (voxels)
Unnamed: 0_level_1,Unnamed: 1_level_1,X,Y,Z,Unnamed: 5_level_1,Unnamed: 6_level_1
Left HIP to the whole brain,,,,,,
NC vs. MCI,,,,,,
Right inferior temporal gyrus,ITG.R,48,−45,−24,−3.3837,109.0
Left inferior temporal gyrus,ITG.L,−54,−45,−21,4.4304,245.0
Right middle temporal gyrus,MTG.R,45,3,−27,−4.2429,117.0
Right parahippocampal gyrus,PHG.R,21,−3,−27,−3.0788,122.0
"Left inferior frontal gyrus, triangular portion",IFGtriang.L,−42,24,3,−3.17,98.0
Left anterior cingulate and paracingulate gyri,ACG.L,−6,36,15,4.2995,119.0
"Right inferior frontal gyrus, triangular portion",IFGtriang.R,54,33,15,3.0303,144.0
Left middle frontal gyrus,MFG.L,−45,12,51,−3.5591,91.0
Right superior frontal gyrus,SFG.R,18,6,63,−3.8702,90.0
NC vs. AD,,,,,,
Right temporal pole: superior temporal gyrus,TPOsup.R,42,3,−27,−3.9766,173.0
Left inferior temporal gyrus,ITG.L,−54,−57,−24,4.0115,481.0
Right caudate nucleus,CAU.R,6,9,6,−3.6686,121.0
Right posterior cingulate gyrus,PCG.R,12,−39,27,−3.1048,162.0
Right superior frontal gyrus,SFG.R,15,36,33,−3.8617,388.0
Left precuneus,PCUN.L,−9,−63,63,4.443,259.0
MCI vs. AD,,,,,,
Left temporal pole: superior temporal gyrus,TPOsup.L,−27,3,−33,−3.2968,121.0
Right insula,INS.R,39,0,−12,−3.6394,115.0
Right cerebellum_6,Cereb.R,39,−57,−24,4.079,161.0
Left middle occipital gyrus,MOG.L,−30,−96,−6,3.077,91.0
Right thalamus,THA.R,6,−15,6,3.1359,87.0
Right rolandic operculum,ROL.R,48,0,6,−3.1668,97.0
Left anterior cingulate and paracingulate gyri,ACG.L,−6,18,24,−4.2899,1419.0
Left superior frontal gyrus,SFG.L,−15,54,15,−3.2588,180.0
Whole brain to the left HIP,,,,,,
NC vs. MCI,,,,,,
Right inferior temporal gyrus,ITG.R,60,−42,−18,3.251,108.0
"Right inferior frontal gyrus, orbital portion",ORBinf.R,45,36,−12,3.5497,93.0
"Left superior frontal gyrus, medial",SFGmed.L,−6,42,21,−3.6127,203.0
Right supplementary motor area,SMA.R,9,0,63,3.424,139.0
NC vs. AD,,,,,,
Left cerebellum_9,Cereb.L,−9,−57,−57,−3.513,163.0
Left cerebellum_Crus2,Cereb.L,−48,−69,−39,−3.2864,91.0
Right cerebellum_6,Cereb.R,21,−60,−21,−3.6537,253.0
Left cerebellum_6,Cereb.L,−15,−66,−15,−3.9553,200.0
Left inferior temporal gyrus,ITG.L,−60,−12,−33,−4.1771,114.0
"Right inferior frontal gyrus, triangular portion",IFGtriang.R,48,30,27,4.6348,914.0
Right caudate nucleus,CAU.R,6,6,6,4.0654,99.0
Right superior frontal gyrus,SFG.R,24,9,57,3.5079,185.0
MCI vs. AD,,,,,,
Left cerebellum_Crus2,Cerebe_Crus2.L,−27,−78,−57,−3.6233,98.0
Left cerebellum_Crus1,Cerebe_Crus1.L,−21,−75,−24,−3.8854,684.0
Left anterior cingulate and paracingulate gyri,ACG.L,−6,24,18,3.6713,263.0
Left superior frontal gyrus,SFG.L,−24,51,0,3.2931,91.0
Right caudate nucleus,CAU.R,3,6,6,3.6922,195.0
"Left inferior frontal gyrus, triangular portion",IFGtriang.L,−45,15,6,3.6202,158.0
"Right inferior frontal gyrus, triangular portion",IFGtriang.R,51,36,15,4.3022,672.0
