Unnamed: 0_level_0,Unnamed: 1_level_0,Brain area,Voxel,MNI coordinates of peak voxel,MNI coordinates of peak voxel,MNI coordinates of peak voxel,t-value,ES
Seed-ROIs,L/R,Unnamed: 2_level_1,Unnamed: 3_level_1,X,Y,Z,Unnamed: 7_level_1,Unnamed: 8_level_1
Left thalamus,,,,,,,,
,R,TTG,102.0,45,−21,9,−4.2158,−1.07
,L,ACC,45.0,−12,36,15,−3.2792,−0.94
,L,INS,42.0,−45,−18,18,−4.0631,−0.96
,L,SFG,51.0,−27,60,−9,3.669,−0.92
Right thalamus,,,,,,,,
,R,TTG,101.0,45,−21,9,−4.0337,−1.06
,L,ACC,50.0,−3,30,9,−3.3854,−0.94
,L,SFG,64.0,−24,66,12,3.8375,−1.01
