Unnamed: 0_level_0,MNI coordinates (mm),MNI coordinates (mm),MNI coordinates (mm),MNI coordinates (mm),MNI coordinates (mm),MNI coordinates (mm)
Cluster,X,Y,Z,t-peak,Cluster extent (voxels),Atlas-based peak location
Left frontotemporal,−40,18,−20,5.29,2176.0,Left OFG/left STG
,−38,−8,−16,5.04,,Left anterior insula
,−56,6,0,4.46,,Left precentral gyrus
Right frontotemporal,54,26,−4,3.88,903.0,Right IFG
,62,−12,20,3.82,,Right postcentral gyrus
,66,6,−2,3.69,,Right STG
Paracentral,4,−46,78,5.29,1103.0,Postcentral gyrus
,−20,−48,64,5.07,,Superior parietal lobe
,−2,−46,72,4.85,,Postcentral gyrus
