Variable,ESRD patients,Healthy controls,P value
Age (years),38.3±7.4,39.2±5.7,0.63???
Sex (Male/Female),14/16,13/17,0.80???
MoCA (score),27.9±1.0,28.0±1.1,0.29???
Visuospatial / Executive,4.7±0.5,4.7±0.5,1.00 ???
Naming,2.9±0.3,2.9±0.3,1.00 ???
Attention,1.9±0.3,1.9±0.3,1.00 ???
Digit span,.9±.2,0.9±0.2,1.00 ???
Calculation,2.9±0.3,2.8±0.5,0.51 ???
Verbal (Fluency& Repeting),2.8±0.4,2.8±0.4,1.00 ???
Abstraction,1.5±0.5,1.7±0.4,0.06 ???
Recall,4.0±0.7,4.0±0.6,0.84 ???
Orientation,6.0±0.0,6.0±0.0,
Education(years),,,
1–6 years,3,2,0.25 ???
7–12 years,25,23,
>15 years,2,5,
BDI (score),9.1±9.2,3.2±3.2,0.00???
S. hemoglobin (g/L),121.7±18.0,,-
S. albumin (g/L),41.3±2.8,,-
S. urea (mmol/L),24.2±5.4,,-
S. calcium (mmol/L),2.5±.2,,-
S. phosphate (mmol/L),1.7±.5,,-
Parathyroid hormone (pmol/L),53.7±64.0,,-
Dialysis duration (month),51.8±30.4,,-
spKt/V,1.4±.2,,-
Systolic pressure fluctuations in dialysis (mmHg),18.2±3.5,,-
Diastolic pressure fluctuations in dialysis (mmHg),14.1±3.4,,-
Ultrafiltration volume (L),2.22±0.54,,-
