Unnamed: 0,Anatomic location,"Peak MNI coordinates (x, y, z)",cluster size (voxels),t‐value
"p < .05, AlphaSim‐corrected, cluster > 140","p < .05, AlphaSim‐corrected, cluster > 140","p < .05, AlphaSim‐corrected, cluster > 140","p < .05, AlphaSim‐corrected, cluster > 140","p < .05, AlphaSim‐corrected, cluster > 140"
rTLE > Control,Left posterior cerebellum,"−26, −58, −38",743,3.0186
,Right inferior temporal gyrus,"56, −6, −34",308,3.4016
,Left superior and middle frontal gyrus,"−14, 60, −2",703,3.1121
,Right middle temporal gyrus,"68, −14, −6",168,2.7948
,Left middle occipital gyrus,"−24, −88, −2",158,2.5633
,Left middle occipital gyrus,"−40, −66, 0",169,2.6479
,"Left insula, putamen","−32, 8, 28",990,3.2023
rTLE < Control,Right middle frontal gyrus,"2, 54, 16",283,−2.962
,Left supplementary motor area,"−34, −66, 52","7,369",−3.2871
"p < .01, AlphaSim‐corrected, cluster > 140","p < .01, AlphaSim‐corrected, cluster > 140","p < .01, AlphaSim‐corrected, cluster > 140","p < .01, AlphaSim‐corrected, cluster > 140","p < .01, AlphaSim‐corrected, cluster > 140"
rTLE < Control,Left superior parietal lobule (ROI1),"−34, −66, 52",197,−3.2871
,Right precentral gyrus (ROI2),"12, −26, 72",370,−3.0695
