Unnamed: 0,Anatomic location,"Peak MNI coordinates (x, y, z)",Cluster size (voxel),t‐value
ROI1,ROI1,ROI1,ROI1,ROI1
rTLE > Control,Right posterior lobe of the cerebellum,"21, −45, −39",23,3.7237
,Right anterior lobe of the cerebellum,"9, −63, −18",27,3.4528
,Right thalamus,"15, −18, 3",59,3.7751
,Right insula,"42, −18, −6",18,3.4779
,Left superior temporal gyrus,"−42, −27, 3",19,3.8711
,Right subcortical of the inferior frontal gyrus,"33, 21, 18",30,3.7856
,Left subcortical of the middle frontal gyrus,"−21, 39, 15",18,3.2845
,Left middle occipital gyrus,"−42, −90, 18",26,3.7574
,Right middle cingulate gyrus,"0, −12, 42",28,3.3657
,Right precuneus,"18, −48, 57",21,3.5933
rTLE < Control,Left precuneus,"−6, −69, 18",22,−3.5064
,Left middle temporal gyrus,"−60, −3, −15",18,−3.1872
ROI2,ROI2,ROI2,ROI2,ROI2
rTLE > Control,Right superior temporal gyrus,"54, −18, 3",52,4.1138
,Left subcortical of the postcentral gyrus,"−30, −27, 45",18,3.742
rTLE < Control,Right fusiform gyrus,"42, −72, −18",18,−3.6977
