Seed,Connectivity regions,Peak MNI coordinates,Peak MNI coordinates,Peak MNI coordinates,Voxels size,F-value
Unnamed: 0_level_1,Unnamed: 1_level_1,X,Y,Z,Unnamed: 5_level_1,Unnamed: 6_level_1
Left postcentral,Cingulate gyrus,9,−3,27,55,10.769
,Left paracentral,−12,−24,63,61,9.264
Right postcentral,Left caudate,−9,−3,15,66,11.093
,Left paracentral,−12,−24,63,99,9.639
,Left postcentral,−48,−27,63,59,9.535
Left precentral,–,–,–,–,–,–
Right precentral,Cingulate gyrus,6,−3,27,102,13.940
,Precuneus,15,−81,30,64,9.876
,Left paracentral,−12,−24,63,61,10.644
