Items,WMH I,WMH II,WMH III,p-value
Age,58.00(11.00),66.35±7.26a,70.24±5.47a,<0.001*
Edu,12.00(7.00),12.00(6.00),11.24±3.69,0.120
Gender (male:female%),32:25(56.0:44.0),19:15(55.9:44.1),11:14(44.0:56.0),0.564
Hypertension (yes:no%),25:32(44.0:56.0),24:10(70.6:29.4),22:3(88.0:12.0),<0.001*
Diabetes (yes:no%),7:50(12.3:87.7),8:26(23.5:76.5),3:22(12.0:88.0),0.308
Smoking history (yes:no%),10:47(17.5:82.5),4:30(11.8:88.2),3:22(12.0:88.0),0.688
Drinking history (yes:no%),9:48(15.8:84.2),6:28(17.6:82.4),4:21(16.0:84.0),0.972
WMH volume(ml),469.70±214.64,1869.90(772.09)a,"6614.89(8824.82)a,b",<0.001*
lg WMH,2.70(0.33),3.27±0.13a,"3.88±0.30a,b",<0.001*
lacune,0.00 (1.00),0.00 (1.00),1.00 (1.00),0.062
CMB,0,0,0,/
