Unnamed: 0_level_0,Unnamed: 1_level_0,Pulse rate (PR),Pulse rate (PR),Pulse rate (PR),Respiratory rate (RR),Respiratory rate (RR),Respiratory rate (RR)
Unnamed: 0_level_1,Unnamed: 1_level_1,Drif_NO,Drif_C,Drif_CR,Drif_NO,Drif_C,Drif_CR
Superior medial frontal gyrus (left) to superior medial frontal gyrus (right),r,0.26,0.27,0.40,0.31,0.15,0.21
,(Sig.),(0.333),(0.319),(0.127),(0.24),(0.59),(0.44)
,Drif_NO - Drif_C (sig.),0.914,0.914,0.914,0.573,0.573,0.573
,Drif_NO - Drif_CR (sig.),0.766,0.766,0.766,0.704,0.704,0.704
Anterior cingulate and paracingulate gyri (left) to anterior cingulate and paracingulate gyri (right),r,0.08,0.16,0.38,0.25,0.26,0.28
,(Sig.),(0.775),(0.553),(0.145),(0.359),(0.339),(0.297)
,Drif_NO - Drif_C (sig.),0.791,0.791,0.791,0.922,0.922,0.922
,Drif_NO - Drif_CR (sig.),0.471,0.471,0.471,0.983,0.983,0.983
Superior medial frontal gyrus (left) to supramarginal gyrus (left),r,−0.06,0.08,0.09,0.29,0.31,0.30
,(Sig.),(0.811),(0.762),(0.745),(0.284),(0.241),(0.255)
,Drif_NO - Drif_C (sig.),0.791,0.791,0.791,0.922,0.922,0.922
,Drif_NO - Drif_CR (sig.),0.471,0.471,0.471,0.983,0.983,0.983
Supramarginal gyrus (right) to precuneus (right),r,0.13,−0.11,−0.18,0.37,0.18,0.07
,(Sig.),(0.644),(0.693),(0.496),(0.153),(0.510),(0.809)
,Drif_NO - Drif_C (sig.),0.517,0.517,0.517,0.472,0.472,0.472
,Drif_NO - Drif_CR (sig.),0.415,0.415,0.415,0.312,0.312,0.312
Median cingulate and paracingulate gyri (left) to middle temporal gyrus_Temporal pole (left),r,−0.10,0.00,−0.08,0.31,0.28,0.20
,(Sig.),(0.713),(0.995),(0.771),(0.246),(0.294),(0.447)
,Drif_NO - Drif_C (sig.),0.805,0.805,0.805,0.966,0.966,0.966
,Drif_NO - Drif_CR (sig.),0.974,0.974,0.974,0.829,0.829,0.829
Inferior parietal gyrus (left) to inferior temporal gyrus (right),r,0.35,0.23,0.27,0.59*,0.64**,0.71**
,(Sig.),(0.180),(0.400),(0.311),(0.017),(0.007),(0.002)
,Drif_NO - Drif_C (sig.),0.859,0.859,0.859,0.513,0.513,0.513
,Drif_NO - Drif_CR (sig.),0.885,0.885,0.885,0.557,0.557,0.557
Angular gyrus (left) to inferior temporal gyrus (right),r,0.00,0.01,0.07,−0.02,0.14,0.20
,(Sig.),(0.992),(0.975),(0.794),(0.930),(0.603),(0.454)
,Drif_NO - Drif_C (sig.),0.975,0.975,0.975,0.649,0.649,0.649
,Drif_NO - Drif_CR (sig.),0.857,0.857,0.857,0.576,0.576,0.576
Inferior temporal gyrus (left) to inferior temporal gyrus (right),r,−0.01,−0.06,−0.12,0.26,0.40,0.47
,(Sig.),(0.969),(0.832),(0.662),(0.336),(0.124),(0.066)
,Drif_NO - Drif_C (sig.),0.884,0.884,0.884,0.523,0.523,0.523
,Drif_NO -Drif_CR (sig.),0.777,0.777,0.777,0.497,0.497,0.497
