Unnamed: 0_level_0,Aβ– group,Aβ+ group,P-value
Unnamed: 0_level_1,(N = 66),(N = 40),Unnamed: 3_level_1
Age (years ± SD),71.62 ± 8.69,70.53 ± 7.47,0.493
Education (years ± SD),12.35 ± 4.76,11.40 ± 5.35,0.350
Gender (M:F),22:44,14:26,0.861
CDR (SD),0,0,
Regional FMM SUVR,Regional FMM SUVR,Regional FMM SUVR,Regional FMM SUVR
Average,0.53 ± 0.028,0.73 ±.098,<0.01???
Anterior cingulate cortex,0.54 ± 0.042,0.73 ± 0.11,<0.01???
Frontal lobe,0.41 ±−0.036,0.65 ± 0.11,<0.01???
Parietal lobe,0.35 ± 0.044,0.55 ± 0.098,<0.01???
Precuneus,0.40 ± 0.047,0.68 ± 0.16,<0.01???
Posterior cingulate cortex,0.52 ±.038,0.79 ± 0.15,<0.01???
Temporal lobe,0.478 ± 0.09,0.66 ± 0.16,<0.01???
CERAD-K battery (SD),CERAD-K battery (SD),CERAD-K battery (SD),CERAD-K battery (SD)
VF,16.25 ± 4.45,15.20 ± 4.30,0.242
BNT,12.54 ± 1.81,12.07 ± 2.46,0.308
MMSE,27.75 ± 2.11,27.45 ± 2.37,0.513
WLM,19.39 ± 3.57,18.65 ± 4.33,0.369
CP,10.59 ± 1.05,10.70 ± 0.94,0.586
WLR,6.21 ± 1.66,6.15 ± 1.98,0.868
WLRc,9.26 ± 0.95,7.70 ± 3.06,0.572
CR,7.70 ± 3.06,6.70 ± 2.96,0.100
