Variable,Group,Group,Statistics,Statistics,Statistics,Statistics
Variable,HC (N = 28),SZ (N = 30),test,stat,p-value,effect size
Comprehensive Test of Phonological Processing II (scaled scores),Comprehensive Test of Phonological Processing II (scaled scores),Comprehensive Test of Phonological Processing II (scaled scores),Comprehensive Test of Phonological Processing II (scaled scores),Comprehensive Test of Phonological Processing II (scaled scores),Comprehensive Test of Phonological Processing II (scaled scores),Comprehensive Test of Phonological Processing II (scaled scores)
Alternate phonological awareness,80.2 ± 16.0,68.3 ± 17.3,t,2.70,0.009,0.74
Phonological awareness*,88.6 ± 15.4,77.0 ± 17.9,t,2.09,0.04,0.69
Phonological memory*,97.9 ± 12.3,91.4 ± 23.0,t,1.04,0.31,0.35
Woodcock-Johnson III Tests of Achievement (scaled scores),Woodcock-Johnson III Tests of Achievement (scaled scores),Woodcock-Johnson III Tests of Achievement (scaled scores),Woodcock-Johnson III Tests of Achievement (scaled scores),Woodcock-Johnson III Tests of Achievement (scaled scores),Woodcock-Johnson III Tests of Achievement (scaled scores),Woodcock-Johnson III Tests of Achievement (scaled scores)
Basic reading,99.9 ± 11.6,96.8 ± 10.6,t,1.06,0.31,0.35
Reading fluency,104.8 ± 11.4,90.3 ± 12.0,t,4.70,<0.00005,1.24
Reading comprehension,99.9 ± 9.5,94.1 ± 8.4,t,2.47,0.02,0.65
