Lobe,Region,BA,X,Y,Unnamed: 5
Alpha (Older < Younger),Alpha (Older < Younger),Alpha (Older < Younger),Alpha (Older < Younger),Alpha (Older < Younger),Alpha (Older < Younger)
Frontal,Superior frontal gyrus,6,15,15,65
,,8,5,15,55
,Middle frontal gyrus,6,15,10,65
Beta2 (Older > Younger),Beta2 (Older > Younger),Beta2 (Older > Younger),Beta2 (Older > Younger),Beta2 (Older > Younger),Beta2 (Older > Younger)
Temporal,Superior temporal gyrus,38,−25,10,−40
,,22,−50,15,−5
,,13,−45,0,−10
,,21,−50,−5,−10
,,39,−35,−60,30
,Middle temporal gyrus,38,−35,5,−45
,,21,−40,10,−40
,Inferior temporal gyrus,20,−30,0,−45
,Fusiform gyrus,20,−40,−10,−30
,Sub-Gyral,20,−40,−10,−25
Limbic,Uncus,38,−25,5,−45
,,28,−20,5,−30
,,20,−25,0,−45
,,36,−20,0,−35
,,34,−15,0,−25
,Parahippocampal gyrus,34,−20,5,−20
,,28,−20,−10,−25
,,35,−20,−10,−30
,,36,−30,−20,−30
,Anterior cingulate,24,−5,−10,30
,,32,15,35,20
,,25,0,0,−5
,Posterior cingulate,31,15,−45,35
,,23,−5,−40,25
,,30,5,−45,20
,,29,−5,−55,10
Parietal,Inferior parietal lobule,40,−40,−50,45
,,39,−50,−65,40
,Supramarginal gyrus,40,−40,−45,35
,Precuneus,7,15,−50,40
,,31,15,−50,35
,Postcentral gyrus,2,−40,−30,35
,,3,−40,−25,40
,Angular gyrus,39,−55,−60,35
Frontal,Inferior frontal gyrus,47,−20,10,−20
,,13,−30,15,−15
,Subcallosal gyrus,34,−25,5,−15
,Medial frontal gyrus,25,−15,10,−20
,Middle frontal gyrus,11,−40,35,−15
,,47,−40,40,−5
,,10,−40,55,−5
,Superior frontal gyrus,11,−30,45,−15
,Precentral gyrus,44,−45,10,10
,,6,−55,0,10
,,4,−55,−15,35
Sub-lobar,Insula,13,−35,10,−10
Occipital,Cuneus,18,0,−75,10
,,19,−30,−85,30
,Superior occipital,19,−40,−85,30
Beta3 (Older > Younger),Beta3 (Older > Younger),Beta3 (Older > Younger),Beta3 (Older > Younger),Beta3 (Older > Younger),Beta3 (Older > Younger)
Limbic,Parahippocampal gyrus,35,−20,−30,−20
,,28,−20,−20,−25
,,36,−25,−30,−20
,,34,−15,−10,−20
,Anterior cingulate,24,−5,−5,30
,,32,10,45,10
,,10,5,50,10
,Uncus,28,−15,−5,−30
,,34,−15,−5,−25
,Posterior cingulate,23,−5,−15,30
Frontal,Medial frontal gyrus,10,10,50,15
,,9,5,55,20
,Middle frontal gyrus,10,−40,55,−5
,,11,−40,55,−10
,Superior frontal gyrus,10,10,65,20
,,11,−30,60,−10
,Inferior frontal gyrus,10,−45,50,0
