Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Older > Younger,Older > Younger,Unnamed: 5_level_0
Seed,"Cluster (x, y, z)",k,Cluster p-FDR,Peak p-unc,Result region
DMN,,,,,
Lateral parietal cortex R,+24 +06 +10,315.0,0.000276,3e-06,Thalamus R
,,,,,Putamen R
,,,,,Pallidum R
,+52 +12 +20,141.0,0.018272,2e-06,Inferior frontal gyrus R
Posterior cingulate cortex,+38 +04 +26,462.0,7e-06,4e-06,Precentral gyrus R
,,,,,Inferior frontal gyrus R
,+16 −04 +12,221.0,0.001383,4e-06,Thalamus R
,,,,,Putamen R
,,,,,Pallidum R
,−44 +00 +24,144.0,0.009494,4e-06,Precentral gyrus L
Salience,,,,,
Anterior cingulate cortex,+32 −30 +56,291.0,0.000558,1e-06,Postcentral gyrus R
,,,,,Precentral gyrus R
,−50 +00 +44,165.0,0.009726,1.8e-05,Precentral gyrus L
,−18 −28 +58,138.0,0.015438,3.7e-05,Precentral gyrus L
,,,,,Postcentral gyrus L
,+40 −72 +30,115.0,0.025377,6e-06,Superior lateral occipital cortex R
Insula L,+32 −18 +60,249.0,0.001999,1e-06,Precentral gyrus R
,,,,,Postcentral gyrus R
,−48 −46 +02,152.0,0.018162,0.0,Posterior middle temporal gyrus L
,,,,,Temporooccipital middle temporal gyrus L
,+00 −76 +30,131.0,0.024439,6e-06,Cuneal cortex L
,,,,,Cuneal cortex R
Insula R,+14 −42 +58,311.0,0.000373,1e-06,Postcentral gyrus R
,−02 −74 +32,265.0,0.000641,1e-06,Precuneous
,,,,,Cuneal cortex R
,,,,,Cuneal cortex L
,−28 −06 +04,125.0,0.032132,0.0,Putamen L
,,,,,Pallidum L
