Rest,Rest,Rest,Rest with Music,Rest with Music,Rest with Music,Rest after Music,Rest after Music,Rest after Music
Brain region,p-value,Effect Size,Brain region,p-value,Effect Size,Brain region,p-value,Effect Size
Olfactory R,2.99e-37???,0.2328,Cingulum Mid R,1.24e-172???,0.5114,Hippocampus R,1.63e-34???,0.2237
Thalamus L,2.70–36???,0.2297,Precuneus L,2.21e-166???,0.5019,Cingulum Ant R,2.20e-21???,0.1734
Supp Motor Area R,4.74e-35???,0.2255,Medial OFC R,2.93e-166???,0.5017,Precuneus R,4.97e-18???,0.158
CingulumMid L,3.34e-33???,0.2192,Frontal Sup Medial R,1.32e-159???,0.4915,Precentral R,4.12e-15???,0.1433
Calcarine L,1.41e-32???,0.217,Frontal Sup Medial L,3.68e-158???,0.4892,Hippocampus L,7.24e-12???,0.1251
Cingulum Ant R,1.80e-31???,0.2131,Frontal Sup R,9.98e-157???,0.487,Supp Motor Area R,9.00e-12???,0.1245
Occipital Sup R,9.14e-30???,0.2069,Frontal Sup L,1.24e-156???,0.4868,Occipital Mid L,3.36e-11???,0.121
Cingulum Post R,1.03e-29???,0.2067,Precuneus R,1.68e-154???,0.4834,Frontal Sup Medial R,5.16e-11???,0.1199
Precuneus L,2.19e-29???,0.2055,Cingulum Post L,5.07e-151???,0.4779,Cingulum Mid L,6.66e-11???,0.1192
Medial OFC L,3.74e-29???,0.2046,Cingulum Mid L,4.49e-149???,0.4748,ParaHippocampal R,7.58e-11???,0.1188
Putamen L,4.22e-29???,0.2044,Cingulum Post R,6.79e-149???,0.4745,Medial OFC L,2.80e-10???,0.1152
Thalamus R,8.44e-29???,0.2033,Medial OFC L,2.74e-147???,0.4719,Cingulum Ant L,9.31e-10???,0.1118
Calcarine R,2.85e-28???,0.2013,Caudate L,2.64e-144???,0.467,Frontal Sup R,3.58e-09???,0.1078
Putamen R,2.86e-28???,0.2013,Olfactory R,1.63e-139???,0.4591,Fusiform R,3.62e-09???,0.1077
Lingual L,3.52e-28???,0.201,Frontal Sup Orb L,1.26e-136???,0.4542,Cingulum Mid R,4.11e-09???,0.1073
Olfactory L,1.10e-27???,0.1991,MedialOFC R,1.22e-132???,0.4474,Calcarine R,4.54e-09???,0.107
Precuneus R,1.12e-26???,0.1952,Cingulum Ant R,5.57e-132???,0.4463,Temporal Pole Sup L,1.10e-08???,0.1043
Cingulum Post L,1.58e-26???,0.1946,Supp Motor Area R,5.64e-131???,0.4446,Frontal Mid Orb L,1.55e-08???,0.1033
Frontal Sup Medial L,3.00e-26???,0.1935,Cingulum Ant L,1.03e-130???,0.4441,Precuneus L,2.14e-08???,0.1022
Cingulum Ant L,3.87e-26???,0.1931,Frontal Sup Orb R,5.13e-130???,0.4429,Temporal Inf L,3.25e-08???,0.1009
