Macaque,Macaque,Macaque,Macaque,Macaque,Human,Human,Human,Human,Human
Unnamed: 0_level_1,mean,std,t,p,Unnamed: 5_level_1,mean,std,t,p
MST,-0.116,0.086,-4.878,0.0,V1,-0.014,0.014,-3.557,0.004
V8,-0.057,0.059,-3.467,0.005,V2,-0.035,0.031,-4.043,0.002
POS2,0.038,0.042,3.305,0.006,L_4,-0.04,0.023,-6.128,0.0
PIT,-0.076,0.083,-3.272,0.007,3b,-0.019,0.02,-3.434,0.005
MT,-0.074,0.072,-3.735,0.003,POS1,-0.038,0.039,-3.481,0.005
PSL,0.04,0.047,3.08,0.01,d23ab,-0.156,0.055,-10.303,0.0
v23ab,-0.081,0.068,-4.299,0.001,31pv,-0.084,0.069,-4.415,0.001
d23ab,-0.107,0.035,-11.146,0.0,5L,-0.044,0.043,-3.665,0.003
31pv,-0.071,0.077,-3.302,0.006,LIPv,-0.12,0.132,-3.281,0.007
MIP,-0.106,0.117,-3.271,0.007,VIP,-0.136,0.142,-3.454,0.005
1,-0.08,0.038,-7.555,0.0,MIP,-0.161,0.114,-5.061,0.0
2,-0.049,0.027,-6.539,0.0,1.000,-0.041,0.042,-3.531,0.004
6d,-0.037,0.043,-3.095,0.009,6d,-0.074,0.049,-5.509,0.0
6mp,-0.075,0.039,-6.925,0.0,6mp,-0.125,0.064,-6.997,0.0
33pr,-0.137,0.061,-8.133,0.0,d32,-0.148,0.089,-5.997,0.0
a24,-0.123,0.04,-11.133,0.0,47m,-0.193,0.07,-9.993,0.0
d32,-0.064,0.062,-3.675,0.003,8C,-0.156,0.061,-9.238,0.0
8BM,0.04,0.043,3.366,0.006,47l,-0.101,0.073,-4.981,0.0
47m,-0.227,0.077,-10.597,0.0,p9-46v,-0.102,0.078,-4.686,0.001
8C,-0.111,0.087,-4.591,0.001,OP2-3,-0.129,0.05,-9.343,0.0
47l,-0.07,0.076,-3.326,0.006,52.000,-0.044,0.041,-3.866,0.002
a47r,-0.055,0.024,-8.22,0.0,PoI2,-0.041,0.034,-4.304,0.001
47s,-0.07,0.081,-3.12,0.009,Pir,-0.02,0.021,-3.437,0.005
OP2-3,-0.116,0.117,-3.59,0.004,AAIC,-0.025,0.018,-4.903,0.0
FOP3,0.099,0.099,3.583,0.004,EC,-0.035,0.03,-4.255,0.001
STSda,-0.059,0.056,-3.821,0.002,H,-0.026,0.028,-3.303,0.006
TE1a,-0.118,0.076,-5.65,0.0,PeEc,-0.05,0.035,-5.042,0.0
TE2a,-0.064,0.049,-4.71,0.001,PHA3,-0.063,0.037,-6.226,0.0
IP0,0.032,0.035,3.272,0.007,TE1a,-0.167,0.046,-13.154,0.0
PF,-0.045,0.036,-4.479,0.001,TF,-0.04,0.043,-3.37,0.006
FST,-0.102,0.082,-4.505,0.001,PHT,-0.062,0.067,-3.377,0.006
s32,-0.062,0.068,-3.329,0.006,TPOJ2,-0.087,0.085,-3.67,0.003
pOFC,-0.078,0.051,-5.544,0.0,PGi,-0.137,0.096,-5.146,0.0
p24,-0.057,0.059,-3.47,0.005,PHA2,-0.027,0.032,-3.08,0.01
,,,,,PoI1,-0.038,0.032,-4.289,0.001
,,,,,LBelt,0.038,0.033,4.2,0.001
,,,,,TE1m,-0.056,0.057,-3.537,0.004
,,,,,PI,-0.036,0.025,-5.215,0.0
