Unnamed: 0_level_0,Unnamed: 1_level_0,Treatment,Treatment,×∆FFMQ(Des),×∆FFMQ(Des),×PRACTICE,×PRACTICE
Unnamed: 0_level_1,Destination ROI,t(20),p(FDR),t(20),p(FDR),t(20),p(FDR)
R lateral parietal ctx. (DMN),R supramarginal g. (SAL),4.55,0.0085,3.67,0.0313,3.50,0.0057
R lateral parietal ctx. (DMN),L supramarginal g. (SAL),3.68,0.017,3.65,0.0313,3.12,0.0108
R lateral parietal ctx. (DMN),R inferior parietal s. (DMN),N.S.,3.65,3.65,0.0313,0.0313,N.S.
R lateral parietal ctx. (DMN),R lateral visual ctx.,3.45,0.0194,0.0194,N.S.,N.S.,N.S.
R lateral parietal ctx. (DMN),L lateral visual ctx.,4.01,0.0152,0.0152,N.S.,N.S.,N.S.
R lateral parietal ctx. (DMN),R inferior frontal g.,3.43,0.0194,0.0194,N.S.,N.S.,N.S.
R lateral parietal ctx. (DMN),L posterior superior temporal g.,3.66,0.017,0.017,N.S.,N.S.,N.S.
L posterior parietal ctx. (FPN),R nucleus accumbens,5.35,0.0014,0.0014,N.S.,N.S.,N.S.
L posterior parietal ctx. (FPN),L nucleus accumbens,4.25,0.0171,0.0171,N.S.,N.S.,N.S.
