Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Talairach coordinates,Talairach coordinates,Talairach coordinates,Talairach coordinates,Talairach coordinates,Talairach coordinates,Talairach coordinates
Hemisphere,Region,Structure,BA,X,Y,Z,Cluster size,t,p
Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR,Controls>ASMR
Right,Frontal,Superior frontal gyrus,6,17,−2,69,2646,4.6440,0.00000
Right,Frontal,Inferior frontal gyrus,47,44,31,−3,9157,4.0252,0.00006
Right,Temporal,Inferior temporal gyrus,20,50,−32,−12,4014,4.1487,0.00004
Right,Parietal,Inferior parietal lobule,40,44,−44,39,1816,4.1880,0.00003
Right,Parietal,Precuneus,7,23,−71,48,3042,3.8515,0.00013
ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls,ASMR>controls
Left,Frontal,Superior frontal gyrus,6,−13,34,57,2655,−4.2801,0.00002
Left,Frontal,Middle frontal gyrus,6,−46,7,48,5667,−3.5623,0.00040
Left,Temporal,Superior temporal gyrus,39,−40,−56,21,9881,−5.3777,0.00000
Left,Limbic,Posterior cingulate gyrus,31,−4,−47,27,3302,−4.1859,0.00003
Right,Frontal,Superior frontal gyrus,10,2,68,21,3305,−4.5738,0.00001
Right,Temporal,Middle temporal gyrus,39,50,−62,24,2623,4.1467,0.00004
