Index/name,Index/name.1,Index/name.2,Index/name.3,Index/name.4,Index/name.5
1 Frontal pole right,"23 Middle temporal gyrus, posterior division right","45 Lateral occipital cortex, inferior division right",67 Lingual gyrus left,89 Supracalcarine cortex left,111 Cerebellum 3 left
2 Frontal pole left,"24 Middle temporal gyrus, posterior division left","46 Lateral occipital cortex, inferior division left","68 Temporal fusiform cortex, anterior division right",90 Occipital pole right,112 Cerebellum 3 right
3 Insular cortex right,"25 Middle temporal gyrus, temporooccipital part right",47 Intracalcarine cortex right,"69 Temporal fusiform cortex, anterior division left",91 Occipital pole left,"113 Cerebellum 4, 5 left"
4 Insular cortex left,"26 Middle temporal gyrus, temporooccipital part left",48 Intracalcarine cortex left,"70 Temporal fusiform cortex, posterior division right",92 Thalamus right,"114 Cerebellum 4, 5 right"
5 Superior frontal gyrus right,"27 Inferior temporal gyrus, anterior division right",49 Frontal medial cortex,"71 Temporal fusiform cortex, posterior division left",93 Thalamus left,115 Cerebellum 6 left
6 Superior frontal gyrus left,"28 Inferior temporal gyrus, anterior division left",50 Supplementary motor cortex right,72 Temporal occipital fusiform cortex right,94 Caudate right,116 Cerebellum 6 right
7 Middle frontal gyrus right,"29 Inferior temporal gyrus, posterior division right",51 Supplementary motor cortex left,73 Temporal occipital fusiform cortex left,95 Caudate left,117 Cerebellum 7 left
8 Middle frontal gyrus left,"30 Inferior temporal gyrus, posterior division left",52 Subcallosal cortex,74 Occipital fusiform gyrus right,96 Putamen right,118 Cerebellum 7 right
"9 Inferior frontal gyrus, pars triangularis right","31 Inferior temporal gyrus, temporooccipital part right",53 Paracingulate gyrus right,75 Occipital fusiform gyrus left,97 Putamen left,119 Cerebellum 8 left
"10 Inferior frontal gyrus, pars triangularis left","32 Inferior temporal gyrus, temporooccipital part left",54 Paracingulate gyrus left,76 Frontal operculum cortex right,98 Pallidum right,120 Cerebellum 8 right
"11 Inferior frontal gyrus, pars opercularis right",33 Postcentral gyrus right,"55 Cingulate gyrus, anterior division",77 Frontal operculum cortex left,99 Pallidum left,121 Cerebellum 9 left
"12 Inferior frontal gyrus, pars opercularis left",34 Postcentral gyrus left,"56 Cingulate gyrus, posterior division",78 Central opercular cortex right,100 Hippocampus right,122 Cerebellum 9 right
13 Precentral gyrus right,35 Superior parietal lobule right,57 Precuneous cortex,79 Central opercular cortex left,101 Hippocampus left,123 Cerebellum 10 left
14 Precentral gyrus left,36 Superior parietal lobule left,58 Cuneal cortex right,80 Parietal operculum cortex right,102 Amygdala right,124 Cerebellum 10 right
15 Temporal pole right,"37 Supramarginal gyrus, anterior division right",59 Cuneal cortex left,81 Parietal operculum cortex left,103 Amygdala left,"125 Vermis 1, 2"
16 Temporal pole left,"38 Supramarginal gyrus, anterior division left",60 Frontal orbital cortex right,82 Planum polare right,104 Accumbens right,126 Vermis 3
"17 Superior temporal gyrus, anterior division right","39 Supramarginal gyrus, posterior division right",61 Frontal orbital cortex left,83 Planum polare left,105 Accumbens left,"127 Vermis 4, 5"
"18 Superior temporal gyrus, anterior division left","40 Supramarginal gyrus, posterior division left","62 Parahippocampal gyrus, anterior division right",84 Heschl's gyrus right,106 Brain-stem,128 Vermis 6
"19 Superior temporal gyrus, posterior division right",41 Angular gyrus right,"63 Parahippocampal gyrus, anterior division left",85 Heschl's gyrus left,107 Cerebellum crus1 left,129 Vermis 7
"20 Superior temporal gyrus, posterior division left",42 Angular gyrus left,"64 Parahippocampal gyrus, posterior division right",86 Planum temporale right,108 Cerebellum crus1 right,133 Vermis 8
"21 Middle temporal gyrus, anterior division right","43 Lateral occipital cortex, superior division right","65 Parahippocampal gyrus, posterior division left",87 Planum temporale left,109 Cerebellum crus2 left,131 Vermis 9
"22 Middle temporal gyrus, anterior division left","44 Lateral occipital cortex, superior division left",66 Lingual gyrus right,88 Supracalcarine cortex right,110 Cerebellum crus2 right,132 Vermis 10
