Unnamed: 0,N6,N7,N8,N9,N10,N11,N12,N20,N21,N23,N24,N25,N26
HC,0.67 ± 0.08,0.70 ± 0.10,0.67 ± 0.07,0.70 ± 0.07,0.69 ± 0.08,0.70 ± 0.09,0.70 ± 0.08,0.67 ± 0.08,0.67 ± 0.08,0.68 ± 0.10,0.69 ± 0.06,0.70 ± 0.10,0.68 ± 0.08
MCI,0.58 ± 0.07,0.60 ± 0.07,0.59 ± 0.05,0.59 ± 0.06,0.60 ± 0.05,0.60 ± 0.07,0.60 ± 0.05,0.68 ± 0.08,0.62 ± 0.08,0.61 ± 0.07,0.62 ± 0.06,0.58 ± 0.05,0.61 ± 0.06
AD,0.58 ± 0.08,0.63 ± 0.12,0.64 ± 0.12,0.63 ± 0.07,0.64 ± 0.10,0.70 ± 0.10,0.67 ± 0.10,0.60 ± 0.08,0.71 ± 0.10,0.59 ± 0.07,0.59 ± 0.07,0.56 ± 0.06,0.58 ± 0.08
,N27,N35,N36,N37,N39,N42,N45,N47,N50,N51,N53,N54,N55
HC,0.60 ± 0.08,0.57 ± 0.05,0.58 ± 0.07,0.62 ± 0.09,0.70 ± 0.09,0.68 ± 0.09,0.63 ± 0.08,0.64 ± 0.08,0.65 ± 0.08,0.66 ± 0.08,0.70 ± 0.10,0.70 ± 0.08,0.65 ± 0.08
MCI,0.64 ± 0.07,0.60 ± 0.06,0.62 ± 0.07,0.61 ± 0.08,0.62 ± 0.07,0.64 ± 0.06,0.64 ± 0.09,0.64 ± 0.06,0.60 ± 0.06,0.56 ± 0.07,0.63 ± 0.08,0.62 ± 0.10,0.63 ± 0.07
AD,0.70 ± 0.10,0.70 ± 0.09,0.67 ± 0.08,0.72 ± 0.10,0.76 ± 0.09,0.59 ± 0.06,0.56 ± 0.07,0.57 ± 0.08,0.68 ± 0.12,0.64 ± 0.10,0.57 ± 0.09,0.55 ± 0.06,0.54 ± 0.09
,N56,N58,N59,N60,N61,N62,N64,N65,N70,N71,N72,N73,N74
HC,0.64 ± 0.07,0.61 ± 0.07,0.61 ± 0.08,0.69 ± 0.09,0.65 ± 0.07,0.65 ± 0.08,0.66 ± 0.04,0.64 ± 0.06,0.59 ± 0.05,0.58 ± 0.09,0.61 ± 0.07,0.60 ± 0.08,0.63 ± 0.09
MCI,0.52 ± 0.04,0.66 ± 0.10,0.66 ± 0.07,0.57 ± 0.08,0.57 ± 0.09,0.64 ± 0.06,0.58 ± 0.05,0.58 ± 0.05,0.61 ± 0.06,0.57 ± 0.08,0.64 ± 0.07,0.65 ± 0.07,0.67 ± 0.08
AD,0.60 ± 0.11,0.57 ± 0.06,0.57 ± 0.08,0.60 ± 0.09,0.59 ± 0.07,0.78 ± 0.09,0.71 ± 0.09,0.70 ± 0.09,0.66 ± 0.08,0.65 ± 0.07,0.56 ± 0.06,0.56 ± 0.05,0.56 ± 0.06
,N95,N96,N98,N99,N100,N104,N106,N110,N112,N113,N116,N118,N125
HC,0.65 ± 0.07,0.64 ± 0.10,0.60 ± 0.07,0.62 ± 0.07,0.59 ± 0.08,0.64 ± 0.07,0.64 ± 0.07,0.61 ± 0.07,0.64 ± 0.08,0.63 ± 0.09,0.60 ± 0.10,0.57 ± 0.06,0.61 ± 0.07
MCI,0.62 ± 0.08,0.54 ± 0.08,0.50 ± 0.07,0.53 ± 0.05,0.56 ± 0.08,0.57 ± 0.04,0.61 ± 0.07,0.67 ± 0.10,0.60 ± 0.05,0.63 ± 0.06,0.72 ± 0.10,0.63 ± 0.07,0.56 ± 0.07
AD,0.56 ± 0.05,0.58 ± 0.07,0.59 ± 0.06,0.59 ± 0.10,0.65 ± 0.09,0.60 ± 0.08,0.69 ± 0.09,0.72 ± 0.10,0.68 ± 0.09,0.71 ± 0.10,0.66 ± 0.09,0.66 ± 0.09,0.66 ± 0.06
