Site,n,n excluded,FC mean ± SD,InvalidScans-FC,MeanMotion-FC,PVS-FC,QC-FC performance
Before denoising (n = 139),Before denoising (n = 139),Before denoising (n = 139),Before denoising (n = 139),Before denoising (n = 139),Before denoising (n = 139),Before denoising (n = 139),Before denoising (n = 139)
Site #1,20,/,0.27 ± 0.13,90.81,91.38,92.01,Below cutoff
Site #2,20,/,0.29 ± 0.08,65.82,56.78,65.82,Below cutoff
Site #3,16,/,0.24 ± 0.07,97.59,98.52,97.59,
Site #4,23,/,0.17 ± 0.08,75.85,78.41,75.85,Below cutoff
Site #5,20,/,0.2 ± 0.07,87.58,91.03,87.58,Below cutoff
Site #6,20,/,0.32 ± 0.13,97.46,91.71,75.24,Below cutoff
Site #7,20,/,0.39 ± 0.11,91.78,89.76,91.78,Below cutoff
All,139,/,0.27 ± 0.12,55.18,58.83,64.64,Below cutoff
After denoising (n = 139),After denoising (n = 139),After denoising (n = 139),After denoising (n = 139),After denoising (n = 139),After denoising (n = 139),After denoising (n = 139),After denoising (n = 139)
Site #1,20,/,0.04 ± 0.02,95.73,98.89,95.96,
Site #2,20,/,0.04 ± 0.01,97.19,97.02,97.19,
Site #3,16,/,0.03 ± 0.01,92.35,96.12,92.35,Below cutoff
Site #4,23,/,0.02 ± 0.01,93.01,96.07,93.01,Below cutoff
Site #5,20,/,0.03 ± 0.02,92.27,95.64,92.27,Below cutoff
Site #6,20,/,0.03 ± 0.01,97.68,97.04,97.26,
Site #7,20,/,0.02 ± 0.01,91.47,96.99,91.47,Below cutoff
all,139,/,0.03 ± 0.01,91.41,94.20,90.02,Below cutoff
After denoising and excluding outliers (n = 128),After denoising and excluding outliers (n = 128),After denoising and excluding outliers (n = 128),After denoising and excluding outliers (n = 128),After denoising and excluding outliers (n = 128),After denoising and excluding outliers (n = 128),After denoising and excluding outliers (n = 128),After denoising and excluding outliers (n = 128)
Site #1,19,1,0.04 ± 0.02,96.40,97.60,96.48,
Site #2,20,0,0.04 ± 0.01,97.19,97.02,97.19,
Site #3,15,1,0.03 ± 0.01,95.92,97.00,95.92,
Site #4,21,2,0.02 ± 0.01,98.00,98.01,98.00,
Site #5,17,3,0.03 ± 0.02,98.48,98.50,98.48,
Site #6,20,0,0.03 ± 0.01,97.68,97.04,97.26,
Site #7,16,4,0.02 ± 0.01,97.47,99.21,97.47,
All,128,11,0.03 ± 0.01,97.24,95.84,93.97,Below cutoff
