Significant connections,Significant connections,Significant connections,Significant connections,Significant connections,Significant connections
Harvard-Oxford regions,Harvard-Oxford regions,Harvard-Oxford regions,Mesulam subsystems,Mesulam subsystems,p-value
ASD < TD,ASD < TD.1,ASD < TD.2,ASD < TD,ASD < TD.1,ASD < TD
R Hippocampus (g),–,R Temporal Fusiform Cortex (posterior division) (u),Limbic,Unimodal,<0.001
L Supramarginal Gyrus (anterior division) (t),–,L Planum Polare (n),Unimodal,Unimodal,<0.001
L Middle Temporal Gyrus (anterior division) (k1),–,R Middle Temporal Gyrus (posterior division) (k2),Heteromodal,Heteromodal,<0.005
R Precentral Gyrus (o),–,L Angular Gyrus (b),Primary,Heteromodal,<0.005
R Inferior Temporal Gyrus (posterior division) (i2),–,L Angular Gyrus (b),Unimodal,Heteromodal,<0.005
R Precuneus Cortex (p),–,R Temporal Fusiform Cortex (posterior division) (u),Heteromodal,Unimodal,<0.005
R Cuneal Cortex (d),–,L Frontal Operculum Cortex (f),Unimodal,Unimodal,<0.005
L Cingulate Gyrus (anterior division) (c1),–,L Cingulate Gyrus (posterior division) (c2),Paralimbic,Paralimbic,<0.01
R Precuneus Cortex (p),–,L Parahippocampal Gyrus (anterior division) (l1),Heteromodal,Paralimbic,<0.01
R Cingulate Gyrus (posterior division) (c2),–,R Temporal Fusiform Cortex (posterior division) (u),Paralimbic,Unimodal,<0.01
L Cingulate Gyrus (posterior division) (c2),–,R Temporal Fusiform Cortex (posterior division) (u),Paralimbic,Unimodal,<0.01
