Seed region,Brain region,Hemisphere,BA,MNI coordinates,Peak T values,Cluster size,Cluster FWEp value
HC > ATSA,HC > ATSA,HC > ATSA,HC > ATSA,HC > ATSA,HC > ATSA,HC > ATSA,HC > ATSA
lNAc core,Orbital part of superior frontal gyrus/orbital gyrus,Left,11/47,− 10 38 – 24,5.27,156,0.001
lNAc shell,Orbital part of superior frontal gyrus/orbital gyrus,Left,11/47,− 8 44 – 20,5.04,127,0.005
rNAc core,Orbital part of superior frontal gyrus/orbital gyrus,Left,11/47,− 10 44 – 22,5.27,145,0.002
rNAc shell,Orbital part of superior frontal gyrus/orbital gyrus,Left,11/47,− 8 44 – 20,5.21,122,0.007
HC < ATSA,HC < ATSA,HC < ATSA,HC < ATSA,HC < ATSA,HC < ATSA,HC < ATSA,HC < ATSA
lNAc core,Opercular part of inferior frontal gyrus,Left,44,− 50 10 – 18,4.86,106,0.014*
lNAc shell,Opercular part of inferior frontal gyrus,Left,44,− 42 8 – 20,4.76,100,0.020*
rNAc core,Opercular part of inferior frontal gyrus,Left,44,− 46 4 – 18,4.72,91,0.032*
rNAc shell,Opercular part of inferior frontal gyrus,Left,44,− 42 12 – 16,4.84,97,0.023*
