Region name,Region name.1,Coordinates (in mm),Region name.2,Region name.3,Coordinates (in mm).1
DMN (default mode network),DMN (default mode network),,SAL (salience network),SAL (salience network),
1,Posterior cingulate cortex/Precuneus (PCC_D),0 −52 7,15,Dorsal anterior cingulate cortex (dACC_S),0 21 36
2,Medial prefrontal cortex (mPFC_D),−1 54 27,16,Left anterior PFC (L_aPFC_S),−35 45 30
3,Left lateral parietal cortex (L_lPar_D),−46 −66 30,17,Right anterior PFC (R_aPFC_S),32 45 30
4,Right lateral parietal cortex (R_lPar_D),49 −63 33,18,Left insula (L_Insula_S),−41 3 6
5,Left inferior temporal gyrus (L_IT_D),−61 −24 −9,19,Right insula (R_Insula_S),41 3 6
6,Right inferior temporal gyrus (R_IT_D),58 −24 −9,20,Left lateral parietal cortex (L_lPar_S),−62 −45 30
7,Medial dorsal thalamus (mdThal_D),0 −12 9,21,Right lateral parietal cortex (R_lPar_S),62 −45 30
8,Left posterior cerebellum (L_pCERE_D),−25 −81 −33,LIM (limbic network),LIM (limbic network),
9,Right posterior cerebellum (R_pCERE_D),25 −81 −33,22,Left subgenual anterior cingulate cortex (L_sgACC_L),−4 15 −11
EXE (executive control network),EXE (executive control network),,23,Right subgenual anterior cingulate cortex (R_sgACC_L),4 15 −11
10,Dorsal medial PFC (dmPFC_E),0 24 46,24,Left amygdala (L_Amyg_L),−19 −2 −21
11,Left anterior PFC (L_aPFC_E),−44 45 0,25,Right amygdala (R_Amyg_L),19 −2 −21
12,Right anterior PFC (R_aPFC_E),44 45 0,26,Left ventral hippocampus (L_vHPC_L),−27 −15 −18
13,Left superior parietal lobule (L_sPar_E),−50 −51 45,27,Right ventral hippocampus (R_vHPC_L),27 −15 −18
14,Right superior parietal lobule (R_sPar_E),50 −51 45,,,
