Node,Total degree,In degree,Out degree,Node.1,Total degree.1,In degree.1,Out degree.1
DMN,,,,SAL,,,
L_pCERE,7.0,4.0,3.0,L_aPFC,5.0,2.0,3.0
R_lPar,5.0,4.0,1.0,L_Insula,4.0,2.0,2.0
R_IT,5.0,3.0,2.0,R_Insula,3.0,1.0,2.0
R_pCERE,4.0,2.0,2.0,dACC,2.0,0.0,2.0
mdThal,4.0,1.0,3.0,R_lPar,2.0,1.0,1.0
PCC,3.0,1.0,2.0,Average,3.2,1.2,2.0
mPFC,3.0,2.0,1.0,LIM,,,
L_IT,3.0,1.0,2.0,R_Amyg,2.0,1.0,1.0
L_lPar,2.0,1.0,1.0,R_sgACC,2.0,1.0,1.0
Average,4.0,2.11,1.89,L_sgACC,1.0,0.0,1.0
EXE,,,,Average,1.67,0.67,1.0
R_aPFC,3.0,3.0,0.0,,,,
L_aPFC,1.0,1.0,0.0,,,,
R_sPar,1.0,0.0,1.0,,,,
Average,1.67,1.33,0.33,,,,
