Index,Name,Index.1,Name.1
1,L-Putamen,30,R-Putamen
2,L-Cerebellum-Ctx,31,R-Cerebellum-Ctx
3,L-Thalamus,32,R-Thalamus
4,L-Caudate,33,R-Caudate
5,L-Pallidum,34,R-Pallidum
6,L-Hippocampus,35,R-Hippocampus
7,L-Amygdala,36,R-Amygdala
8,L-Accumbens-area,37,R-Accumbens-area
9,L-Caudal-Anterior-Cingulate-Ctx,38,R-Caudal-Anterior-Cingulate-Ctx
10,L-Caudal-Middle-Frontal-Ctx,39,R-Caudal-Middle-Frontal-Ctx
11,L-Cuneus,40,R-Cuneus
12,L-Entorhinal,41,R-Entorhinal
13,L-Inferior-Parietal-Ctx,42,R-Inferior-Parietal-Ctx
14,L-Inferior-Temporal-Ctx,43,R-Inferior-Temporal-Ctx
15,L-Lateral-Orbitofrontal-Ctx,44,R-Lateral-Orbitofrontal-Ctx
16,L-Medial-Orbitofrontal-Ctx,45,R-Medial-Orbitofrontal-Ctx
17,L-Middle-Temporal-Ctx,46,R-Middle-Temporal-Ctx
18,L-Parahippocampal–Ctx,47,R-Parahippocampal-Ctx
19,L-Paracentral-Ctx,48,R-Paracentral-Ctx
20,L-Postcentral-Ctx,49,R-Postcentral-Ctx
21,L-Posterior-Cingulate-Ctx,50,R-Posterior-Cingulate-Ctx
22,L-Precentral-Ctx,51,R-Precentral-Ctx
23,L-Precuneus,52,R-Precuneus
24,L-Rostral-Anterior-Cingulate-Ctx,53,R-Rostral-Anterior-Cingulate-Ctx
25,L-Rostral-Middle-Frontal-Ctx,54,R-Rostral-Middle-Frontal-Ctx
26,L-Superior-Frontal-Ctx,55,R-Superior-Frontal-Ctx
27,L-Superior-Parietal-Ctx,56,R-Superior-Parietal-Ctx
28,L-Superior-Temporal-Ctx,57,R-Superior-Temporal-Ctx
29,L-insula,58,R-Insula
