Dataset,ADHD groupMean ± SD,TDC groupMean ± SD,t,p
ADHD combined subtype,ADHD combined subtype,ADHD combined subtype,ADHD combined subtype,ADHD combined subtype
NYU,−1.30 ± 0.39,−1.49 ± 0.36,1.60,0.12
PKU1,−1.53 ± 0.21,−1.64 ± 0.24,0.86,0.41
PKU2,−1.23 ± 0.16,−1.46 ± 0.25,2.69,0.01
PKU3,−1.28 ± 0.33,−1.37 ± 0.24,0.61,0.55
ADHD inattention subtype,ADHD inattention subtype,ADHD inattention subtype,ADHD inattention subtype,ADHD inattention subtype
NYU,−1.33 ± 0.44,−1.38 ± 0.16,0.34,0.74
PKU1,−1.50 ± 0.22,−1.58 ± 0.18,0.84,0.41
PKU2,−1.36 ± 0.30,−1.38 ± 0.29,0.21,0.83
PKU3,−1.31 ± 0.30,−1.36 ± 0.31,0.34,0.73
