Unnamed: 0,Center A,Group B,Group C,Group D
Scanner,Philips Intera,GE Signa HDxt,Siemens Verio,Philips Achieva
Coil,8-channel coil,8-channel coil,12-channel coil,32-channel coil
3D-T1 weighted,3D-T1 weighted,3D-T1 weighted,3D-T1 weighted,3D-T1 weighted
Sequence,[FFE–TFE],IR-FSPGR,MPRAGE,TFE
Imaging plane,[Axial–Sagittal],Sagittal,Sagittal,Axial
Spatial resolution [mm3],[0.9 × 0.9 × 1.6–1 × 1 × 1],1 × 1 × 1.2,0.5 × 0.5 × 1,1 × 1 × 2
Acquisition matrix,[256 × 256–256 × 256],256 × 256,256 × 256,256 × 256
Slices,[220–204],166,176,192
TR [ms],[25–7],6.9,1900,10
TE [ms],[4.6–3.1],2.8,2.9,4
TI [ms],–,650,900,–
Flip angle [°],[30–9],8,[8–9],8
RS-fMRI,RS-fMRI,RS-fMRI,RS-fMRI,RS-fMRI
Sequence,EPI,EPI,EPI,EPI
Imaging plane,Axial,Axial,Axial,Axial
Spatial resolution [mm3],1.875 × 1.875 × 4,4 × 4 × 4,3 × 3 × 3,1.875 × 1.875 × 4
Acquisition matrix,128 × 128,64 × 64,64 × 64,128 × 128
Slices,30,29,50,30
TR [ms],3000,1500,3000,3000
TE [ms],35,32,30,35
Flip angle [°],90,90,89,90
Volumes,200,240,140,200
