Algorithm used,Scheafer atlas,Scheafer atlas,Scheafer atlas,BASC multiscale atlas,BASC multiscale atlas,BASC multiscale atlas
Unnamed: 0_level_1,r2,MAE,RMSE,r2,MAE,RMSE
Elastic regression,0.613,11.923,13.856,0.592,13.856,17.589
Support vector regressor,0.615,10.199,11.923,0.617,9.963,11.923
Bayes ridge regression,0.607,9.457,11.706,0.619,9.457,11.706
AlexNet,0.618,9.725,11.342,0.617,10.515,12.375
VGGNet5,0.671,8.439,10.016,0.624,10.018,12.048
ResNet5,0.724,7.869,9.002,0.662,9.272,11.863
VGGNet5 with Attention,0.721,7.31,9.316,0.674,9.048,11.121
ResNet5 with attention,0.754,6.797,8.002,0.712,8.272,10.986
