Network,Brain area (ALL),Size,MNI coordinate,MNI coordinate,MNI coordinate,F value
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,X,Y,Z,Unnamed: 6_level_1
aDMN (IC70),Precentral L,11,–54,9,39,6.8035
spDMN (IC49),Precuneus R_,9,9,–69,45,4.2018
ipDMN (IC20),Precuneus R_,11,9,–72,33,5.4914
LFPN (IC70),Precentral L,11,–54,9,39,6.8035
RFPN (IC29),Frontal Inf Tri R,12,51,36,12,4.6482
InSN (IC66),Cingulum_Mid_R,5,3,12,39,3.8747
,Supp_Motor_Area_L,5,–3,6,42,4.0153
laSN (IC35),Insula R,9,39,9,–6,4.0153
,Frontal_Inf_Oper_L,9,–48,3,3,4.7659
