Unnamed: 0,HC (N = 24),MCI-AD (N = 28),MCI-LB (N = 31),Group differences
Male:female,17:7,14:14,29:2,"χ2 = 14.0, p = 0.001ap(HC,MCI-AD) = 0.13p(HC,MCI-LB) = 0.02p(MCI-AD,MCI-LB) < 0.001"
Age,73.5 (7.6),76.2 (7.9),74.7 (6.6),"F(2,80) = 0.9, p = 0.41b"
AChEI,–,5 (19%)e,14 (47%)f,"χ2 = 5.1, p = 0.08c"
PD meds,–,0e,2 (7%)f,"χ2 = 2.2, p = 0.32c"
Years of education,14.5 (3.7)g,12.9 (3.5),12.1 (3.0),"F(2,77) = 3.4, p = 0.04bp(HC,MCI-AD) = 0.32p(HC,MCI-LB) = 0.03p(MCI-AD,MCI-LB) = 1.0"
ACE-R,92.3 (4.4),82.2 (8.8),83.4 (9.5),"t57 = 0.5, p = 0.62d"
MMSE,28.3 (1.1),27.0 (2.2),26.6 (2.6),"t57 = 0.6, p = 0.61d"
UPDRS III,5.3 (4.3),16.2 (15.1),22.8 (14.9),"t57 = 1.7, p = 0.1d"
DCFS,–,6.7 (1.9)h,8.8 (3.5)i,"t49 = 2.6, p = 0.01d"
CAF total,–,1.3 (2.4)h,4.2 (4.5)i,"t49 = 2.8, p = 0.008d"
NPI total,–,7.6 (8.3)h,14.9 (12.6)i,"t49 = 2.4, p = 0.02d"
NEVHI,–,0.6 (1.2)j,3.3 (4.4),"t56 = 3.1, p = 0.003d"
Mean FD (mm),0.25 (0.09),0.28 (0.10),0.26 (0.11),"F(2,80) = 0.6, p = 0.59b"
Max FD (mm),0.94 (0.66),1.3 (0.65),1.1 (0.73),"F(2,80) = 1.7, p = 0.19b"
