Seed regions,Connected area,Peak MNI coordinates,Peak MNI coordinates,Peak MNI coordinates,Number of voxels,T-value,Effect size (Cohen's f2)
Unnamed: 0_level_1,Unnamed: 1_level_1,X,Y,Z,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1
LPD < RPD,LPD < RPD,LPD < RPD,LPD < RPD,LPD < RPD,LPD < RPD,LPD < RPD,LPD < RPD
Left DRP,Left orbitofrontal cortex,−36,51,−15,42,−4.22,0.23
LPD < HC,LPD < HC,LPD < HC,LPD < HC,LPD < HC,LPD < HC,LPD < HC,LPD < HC
Right DC,Cerebellum posterior lobe,18,−90,−45,231,−4.34,0.21
,Left occipital lobe,−15,−102,−6,186,−4.26,0.23
,Left inferior parietal lobe,−30,−45,39,76,−4.28,0.22
,Left superior parietal lobe,−15,−54,60,65,−4.18,0.24
Right VRP,Right parietal lobe,36,−42,36,50,−4.53,0.26
Right VSs,Cerebellum posterior lobe,0,−75,−39,110,−3.96,0.20
,Left occipital lobe,−30,−99,−9,129,−4.14,0.22
,Right occipital lobe,30,−90,−9,60,−4.08,0.22
