Seed,Region with altered FC,Voxels,Peak MNI coordinate,Peak intensity,Correlation,Correlation
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,BN,HC
R-DC,Superior medial frontal gyrus,441.0,"–8, 58, 16",5.976,+∗,–∗
,Middle temporal gyrus,198.0,"–60, –16, –14",5.206,+∗,–∗
,Calcarine,854.0,"–6, –94, –6",–5.722,–,+
L-DC,Superior medial frontal gyrus,176.0,"2, 52, 46",5.084,+∗,–∗
,Paracentral lobule,162.0,"–6, –36, 66",–4.527,–∗,+∗
L-VSs,Middle occipital gyrus,276.0,"48, –76, –10",4.307,+,–∗
,Inferior occipital gyrus,219.0,"–36, –66, –12",3.793,+,–∗
L-VSi,Medial orbital frontal gyrus,168.0,"–4, 40, –24",4.530,+∗,–∗
,Superior medial frontal gyrus,167.0,"–18, 52, 38",4.154,+∗,–∗
,Inferior parietal lobule,142.0,"54, –44, 54",–4.120,–∗,–
R-DCP,Inferior parietal lobule +,186.0,"54, –26, 38",–4.041,–∗,–
,Inferior parietal lobule,167.0,"–64, –44, 26",–3.789,–∗,–
,,,,,,
