Parcel Name,% With Difference In Group Direction,% With Sig. Difference,ROI?,Network,Sig. with FDR correction?,Sig. with accuracy matching?,Sig. with Act-Flow?,Mean Beta Difference [95% CI]
,,,,,,,,
R_PH,95.0,80.0,0.0,Visual2,1.0,1.0,1.0,"113.8 [77.6,150.1]"
L_MIP,95.0,65.0,0.0,Dorsal-attention,1.0,1.0,1.0,"82.2 [43.7,120.6]"
R_V4,95.0,55.0,1.0,Visual2,1.0,1.0,1.0,"46 [21.4, 70.7]"
L_IFJp,95.0,50.0,0.0,Frontoparietal,1.0,1.0,1.0,"88 [50, 126]"
L_PH,90.0,80.0,0.0,Visual2,1.0,1.0,1.0,"95.6 [66.1,125.1]"
R_6r,90.0,55.0,0.0,Cingulo-Opercular,1.0,1.0,1.0,"56.4 [29.3, 83.4]"
R_a24,90.0,45.0,0.0,Default,1.0,1.0,1.0,"-47.6 [-69.7,-25.5]"
L_V3CD,85.0,70.0,1.0,Visual2,1.0,1.0,1.0,"76.2 [45.4, 107]"
L_IP1,85.0,65.0,0.0,Frontoparietal,1.0,1.0,1.0,"65.7 [23.5,107.9]"
R_V3CD,85.0,65.0,1.0,Visual2,1.0,1.0,1.0,"64.3 [29.3, 99.3]"
R_IP0,85.0,60.0,0.0,Dorsal-attention,1.0,1.0,,"75 [44.4,105.6]"
L_PFt,85.0,55.0,0.0,Dorsal-attention,1.0,1.0,1.0,"62.2 [28.5, 95.8]"
R_PGi,85.0,55.0,0.0,Default,1.0,,1.0,"-43.2 [-69.6,-16.8]"
L_LO1,85.0,45.0,1.0,Visual2,1.0,1.0,1.0,"64 [34.3, 93.7]"
L_a24,85.0,45.0,0.0,Default,1.0,1.0,1.0,"−52 [-77.1,-26.9]"
L_IP0,85.0,45.0,0.0,Dorsal-attention,1.0,,1.0,"64.2 [26.2,102.3]"
R_LO1,85.0,40.0,1.0,Visual2,1.0,1.0,1.0,"55.2 [31.1, 79.4]"
R_TGd,85.0,40.0,0.0,Default,1.0,1.0,1.0,"−37.8 [-58.4,-17.2]"
L_IP2,80.0,65.0,0.0,Frontoparietal,1.0,1.0,1.0,"74.2 [30.3,118.2]"
L_11l,80.0,60.0,0.0,Frontoparietal,1.0,1.0,,"61.4 [32.2, 90.6]"
L_AIP,80.0,60.0,0.0,Dorsal-attention,1.0,1.0,1.0,"78.1 [39.4,116.8]"
R_MIP,80.0,60.0,0.0,Dorsal-attention,1.0,1.0,1.0,"81.1 [38.8,123.5]"
L_V3B,80.0,50.0,0.0,Visual2,1.0,1.0,,"54.9 [22.9, 87]"
R_LIPd,80.0,50.0,0.0,Dorsal-attention,1.0,1.0,1.0,"79.3 [36.7, 122]"
L_V4,80.0,45.0,1.0,Visual2,1.0,,1.0,"40.3 [11.3, 69.3]"
R_IFJp,80.0,40.0,0.0,Frontoparietal,1.0,1.0,1.0,"85.4 [36.5,134.2]"
R_d23ab,80.0,35.0,0.0,Default,1.0,,1.0,"−58.3 [-92.9,-23.6]"
R_LO2,75.0,45.0,1.0,Visual2,,,1.0,"47.6 [6, 89.3]"
R_p9–46v,75.0,45.0,0.0,Frontoparietal,1.0,1.0,1.0,"62 [29.1, 94.8]"
R_AIP,75.0,45.0,0.0,Dorsal-attention,1.0,1.0,1.0,"59.4 [23.2, 95.5]"
L_IFSa,75.0,40.0,0.0,Frontoparietal,1.0,1.0,,"49.9 [22.3, 77.4]"
R_PHT,75.0,40.0,0.0,Dorsal-attention,1.0,1.0,1.0,"51.5 [19, 84]"
L_FST,75.0,35.0,0.0,Visual2,1.0,0.0,1.0,"45.5 [18.7, 72.3]"
L_TGd,70.0,45.0,0.0,Default,1.0,0.0,1.0,"−32.5 [-53.3,-11.8]"
R_31pv,70.0,40.0,0.0,Default,1.0,0.0,1.0,"−58.5 [-95, -22]"
L_LO2,70.0,35.0,1.0,Visual2,1.0,1.0,1.0,"48.6 [21.5, 75.8]"
R_LO3,70.0,30.0,1.0,Visual2,0.0,0.0,0.0,"21.9 [-13.2, 56.9]"
R_V4t,70.0,25.0,1.0,Visual2,0.0,0.0,0.0,"15.4 [-21.5, 52.3]"
R_IP1,65.0,50.0,,Frontoparietal,1.0,0.0,0.0,"51.7 [20.5, 83]"
L_LO3,65.0,35.0,1.0,Visual2,0.0,0.0,1.0,"24.2 [-13.3, 61.7]"
L_V2,65.0,20.0,1.0,Visual2,0.0,0.0,0.0,"7.4 [-25.8, 40.5]"
L_V1,60.0,30.0,1.0,Visual1,0.0,0.0,0.0,"9.9 [-22.8, 42.6]"
R_V2,60.0,25.0,1.0,Visual2,0.0,0.0,0.0,"4.3 [-32.2, 40.7]"
R_V1,60.0,20.0,1.0,Visual1,0.0,0.0,0.0,"5.5 [-28.9, 39.9]"
L_V4t,55.0,10.0,1.0,Visual2,0.0,0.0,0.0,"−2.2 [- 34.7, 30.4]"
