Unnamed: 0_level_0,aMCI,aMCI,P value,Cohen’s d
Unnamed: 0_level_1,APOE ε3ε3 (n = 38),APOE ε4+ (n = 28),Unnamed: 3_level_1,Unnamed: 4_level_1
Percentage female,17 (44.74%),13 (46.43%),0.891a,−
Age (years),69.68 ± 7.17,71.5 ± 6.81,0.303b,−
Education level (category),7–18 years,8–19.5 years,0.869b,−
General cognition,,,,
MMSE,26.08 ± 2.65,25.71 ± 3.10,0.963c,0.13
MDRS-2 total,130.82 ± 6.92,129.50 ± 6.86,0.746c,0.19
Composite Z scores of each cognition domain,,,,
Episodic memory,0.13 ± 0.82,−0.18 ± 0.87,0.259c,0.37
AVLT-20 min DR,0.11 ± 1.03,−0.14 ± 0.96,0.545c,0.25
LMT-20 min DR,0.09 ± 0.98,−0.12 ± 1.04,0.540c,0.21
CFT-20 min DR,0.21 ± 1.01,−0.28 ± 0.93,0.101c,0.51
Visuospatial function,0.10 ± 0.80,−0.13 ± 0.51,0.338c,0.34
CDT,0.09 ± 1.02,−0.12 ± 0.98,0.685c,0.21
CFT,0.11 ± 1.31,−0.14 ± 0.08,0.382c,0.25
Information processing speed,0.02 ± 0.79,−0.02 ± 0.82,0.638c,0.05
DSST,0.04 ± 0.97,−0.05 ± 1.06,0.810c,0.09
TMT-A,0.04 ± 0.95,−0.05 ± 1.07,0.926c,0.09
Stroop A,0.01 ± 1.08,−0.02 ± 0.90,0.613c,0.03
Stroop B,−0.02 ± 1.09,0.03 ± 0.88,0.556c,−0.05
Executive function,0.02 ± 0.55,−0.03 ± 0.68,0.747c,0.08
VFT-objects,0.02 ± 0.99,−0.02 ± 1.03,0.870c,0.04
VFT-animals,0.06 ± 0.92,−0.08 ± 1.11,0.930c,0.14
DST-backward,−0.05 ± 0.97,0.06 ± 1.06,0.549c,−0.11
TMT-B,0.10 ± 0.97,−0.13 ± 1.04,0.745c,0.23
Stroop C,−0.12 ± 1.04,0.17 ± 0.93,0.096c,−0.30
Similarity,0.13 ± 0.94,−0.18 ± 1.06,0.331c,0.32
