Unnamed: 0_level_0,Region,Peak coordinates,Peak coordinates,Peak coordinates,Peak coordinates,Cluster size,Cluster-level FWE-corrected p
Unnamed: 0_level_1,Region,x,y,z,t,Cluster size,Cluster-level FWE-corrected p
Positive correlation,Positive correlation,Positive correlation,Positive correlation,Positive correlation,Positive correlation,Positive correlation,Positive correlation
Seed: Left ACC,,,,,,,
Seed: Right ACC,Right precentral gyrus,15,−27,51,3.58,191,0.016
Seed: Right ACC,Right middle cingulate gyrus,9,−21,45,3.28,,
Seed: Right ACC,Left middle cingulate gyrus,−6,−18,45,3.28,,
Negative correlation,Negative correlation,Negative correlation,Negative correlation,Negative correlation,Negative correlation,Negative correlation,Negative correlation
Seed: Left ACC,,,,,,,
Seed: Right ACC,,,,,,,
