Unnamed: 0,HC (n = 29),MS (n = 62),MSshort (n = 36),MSlong (n = 26),p
Gender (female/male),21/8,47/15,30/6,17/9,> 0.2
Age (years),34.45 ± 10.17,38.58 ± 8.25,37.34 ± 8.82,40.62 ± 7.26,"< 0.05???,???"
Education (years),13.62 ± 2.19,13.03 ± 2.53,13.43 ± 2.73,12.38 ± 2.17,> 0.05
WTAR,107.62 ± 7.08,104.65 ± 9.40,104.29 ± 9.90,105.15 ± 9.05,> 0.1
Disease duration (years),n.a.,5.27 ± 4.08,2.29 ± 1.22,9.46 ± 2.80,< 0.001???
EDSS,n.a.,1.77 ± 1.18,1.42 ± 0.90,2.23 ± 1.40,0.008???
MSSS,n.a.,2.89 ± 1.87,2.95 ± 1.99,2.86 ± 1.79,> 0.05
MFIS,n.a.,7.45 ± 4.66,7.69 ± 4.95,7.15 ± 4.53,> 0.1
BDI,4.45 ± 5.24,8.32 ± 6.10,8.29 ± 6.90,8.23 ± 5.20,"< 0.05???,???,???"
PASAT (z score),0.21 ± 1.05,0.62 ± 1.22,0.56 ± 1.07,0.70 ± 1.44,> 0.1
SDMT (z score),0.29 ± 1.03,0.12 ± 0.91,0.04 ± 0.92,0.21 ± 0.93,> 0.2
MSFC,0.36 ± 0.46,0.11 ± 0.70,0.04 ± 0.58,0.18 ± 0.86,"< 0.05???,???,???"
MoCA,28.68 ± 1.51,28.29 ± 1.76,28.17 ± 1.82,28.46 ± 1.72,> 0.2
Executive (z score),0.80 ± 0.54,0.39 ± 0.77,0.46 ± 0.76,0.28 ± 0.81,> 0.05
Memory (z score),0.71 ± 0.68,0.47 ± 0.79,0.43 ± 0.84,0.50 ± 0.74,> 0.3
Attention (z score),0.02 ± 0.71,0.32 ± 0.71,0.29 ± 0.76,0.36 ± 0.66,> 0.1
Visuospatial (z score),0.27 ± 0.55,0.04 ± 0.59,0.13 ± 0.52,0.09 ± 0.68,> 0.05
Composite z score,0.44 ± 0.49,0.18 ± 0.53,0.22 ± 0.53,0.12 ± 0.68,> 0.05
T2 lesion load (mL),n.a.,16.63 ± 22.23,16.49 ± 23.77,16.82 ± 20.84,> 0.1
