MTN,DMN,SAN,STM,TEP,HIP,DAN
L/R_precentral gyrus,"L/R_superior frontal gyrus, dorsolateral",L/R_rolandic operculum,L/R_caudate nucleus,L/R_transverse temporal gyri,L/R_hippocampus,L/R_inferior occipital
L/R_supplementary motor area,"L/R_superior frontal gyrus, orbital part",L/R_insula,L/R_putamen,L/R_superior temporal gyrus,,L/R_fusiform gyrus
L/R_postcentral gyrus,"L/R_middle frontal gyrus, lateral part",L/R_anterior cingulate gyrus,L/R_globus pallidus,L/R_superior temporal pole,,L/R_superior parietal lobule
L/R_precuneus,"L/R_middle frontal gyrus, orbital part",L/R_middle cingulate,,L/R_middle temporal pole,,L/R_inferior parietal lobule
L/R_paracentral lobule,L/R_opercular part of inferior frontal gyrus,L/R_parahippocampal gyrus,L/R_parahippocampal gyrus,L/R_inferior temporal gyrus,,L/R_supramarginal gyrus
,L/R_area triangularis,L/R_amygdala,,,,L/R_calcarine sulcus
,L/R_orbital part of inferior frontal gyrus,,,,,L/R_cuneus
,"L/R_superior frontal gyrus, medial part",,,,,L/R_lingual gyrus
,"L/R_superior frontal gyrus, medial orbital part","L/R_superior frontal gyrus, medial orbital part",,,,L/R_superior occipital
,L/R_posterior cingulate gyrus,,,,,L/R_middle occipital
,L/R_angular gyrus,,,,,
,L/R_middle temporal gyrus,,,,,
