Feature Measure,ELM,ELM,ELM,ELM,ELM,ELM,ELM,ELM,SVM-RBF,SVM-Linear
Feature Measure,ACC Training (%),ACC Testing (%),p-value,SEN Testing (%),SPEC Testing (%),BAC Testing (%),PPV Testing (%),NPV Testing (%),ACC Testing (%),ACC Testing (%)
ReHo,82.10±1.66,81.76±2.69,0.001,75.38±2.43,87.58±7.99,81.48±2.89,85.84±6.78,81.30±5.77,60.18±4.58,60.89±4.97
fALFF,82.59±3.80,78.19±3.04,0.001,75.71±2.23,80.21±1.95,77.96±3.04,78.30±3.79,80.70±2.68,58.49±3.85,60.96±6.22
ALFF,87.51±3.87,84.51±2.98,0.001,81.92±3.68,86.83±4.35,84.38±3.18,84.81±4.85,85.22±6.27,74.70±2.08,77.14±7.79
Degree Centrality,81.11±2.42,82.41±3.15,0.001,77.25±3.69,86.88±5.96,82.06±2.96,84.10±5.97,81.51±2.34,67.62±3.69,68.66±3.06
LeftHC-based rsFC,76.61±1.86,78.87±4.70,0.001,78.68±3.59,78.92±4.67,78.80±4.80,76.90±6.67,81.68±2.36,62.66±6.39,63.71±6.39
RightHC-based rsFC,79.15±2.10,78.55±4.35,0.001,75.93±1.24,80.96±4.90,78.45±4.42,78.73±6.68,80.34±4.48,58.84±3.85,61.64±3.95
LeftPCC-based rsFC,79.07±1.05,81.34±4.57,0.001,75.88±2.57,86.13±5.91,81.00±6.08,82.83±5.61,81.16±7.79,67.24±4.47,68.30±3.39
RightPCC-based rsFC,78.67±1.85,79.97±4.50,0.001,75.77±1.27,83.50±5.68,79.63±4.78,80.48±4.45,80.62±4.78,63.69±5.52,63.71±4.57
LeftPCu-based rsFC,80.17±5.09,79.91±3.45,0.001,74.12±6.80,84.75±6.77,79.44±3.29,81.98±8.22,79.33±3.24,60.92±6.67,61.61±6.49
RightPCu-based rsFC,78.76±1.51,81.37±3.93,0.001,78.85±5.69,83.54±6.47,81.19±3.87,81.15±7.06,82.09±4.11,66.56±5.70,69.36±6.48
Concatenation,86.52±6.99,87.20±2.35,0.001,78.85±6.90,87.50±5.72,81.69±2.75,84.66±5.12,81.27±5.70,69.74±6.81,71.13±4.71
