Seed ROI region,Connectivity cluster,p-values,No of cluster,t-values,Brain regions in the connectivity cluster
Left middle temporal pole,Cluster-1,1e-06,44,8.23,Left parahippocampal gyrus
Left middle temporal pole,Cluster-1,1e-06,44,8.23,Left amygdala
Left middle temporal pole,Cluster-1,1e-06,44,8.23,Left frontal orbital cortex
Left middle temporal pole,Cluster-2,0.002824,28,5.62,Left putamen
Left middle temporal pole,Cluster-2,0.002824,28,5.62,Left insula
Left middle temporal pole,Cluster-3,0.002824,27,− 4.58,Left precentral gyrus
Left middle temporal pole,Cluster-3,0.002824,27,− 4.58,Right supplementary motor cortex
Left middle temporal pole,Cluster-4,0.003058,41,− 4.24,Left central opercular cortex
Right middle temporal pole,Cluster-1,1e-06,39,7.88,Left frontal orbital cortex
Right middle temporal pole,Cluster-1,1e-06,39,7.88,Left putamen
Right middle temporal pole,Cluster-1,1e-06,39,7.88,Left amygdala
Right middle temporal pole,Cluster-1,1e-06,39,7.88,"Left parahippocampal gyrus, anterior division"
Right middle temporal pole,Cluster-2,2e-06,67,-6.38,Left parietal operculum cortex
Right middle temporal pole,Cluster-2,2e-06,67,-6.38,Left central opercular cortex
Right middle temporal pole,Cluster-2,2e-06,67,-6.38,Left postcentral gyrus
Bilateral thalamus,Cluster-1,1e-06,345,8.9,Left putamen
Bilateral thalamus,Cluster-1,1e-06,345,8.9,Left caudate
Bilateral thalamus,Cluster-1,1e-06,345,8.9,Left pallidum
Bilateral thalamus,Cluster-1,1e-06,345,8.9,Left insular cortex left
Bilateral thalamus,Cluster-1,1e-06,345,8.9,Left thalamus
Bilateral thalamus,Cluster-2,1e-06,28,8.9,Left frontal operculum
Bilateral thalamus,Cluster-2,1e-06,28,8.9,Right putamen
Bilateral thalamus,Cluster-2,1e-06,28,8.9,Right pallidum
Bilateral thalamus,Cluster-2,1e-06,28,8.9,Right caudate
Bilateral thalamus,Cluster-2,1e-06,28,8.9,Right insula
Bilateral thalamus,Cluster-4,1e-06,22,8.0,Right central opercular cortex
Bilateral thalamus,Cluster-5,0.00258,73,5.84,Right thalamus
