Measure,Description
Prevalence,Probability of occurrence of each state
Persistence,Mean lifetime of each state (in seconds)
Transition Probability,Probability of switching from one state to another
Dwell,Probability of remaining in a given state
,
Trajectory length,Total L1 distance between successive IPS patterns
Span,Maximum L1 distance between IPS patterns
Capacity,Average L1 distance between IPS patterns
Efficiency,Ratio of Capacity to Trajectory Length
Smoothness,Average L1 similarity of successive IPS patterns
