Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SVM,Unnamed: 6_level_0,Unnamed: 7_level_0,LDA,Unnamed: 9_level_0,Unnamed: 10_level_0,KNN,Unnamed: 12_level_0,Unnamed: 13_level_0,DT,Unnamed: 15_level_0
Unnamed: 0_level_1,List of feature used,List of feature used,Validation methods,acc,sens,spec,acc,sens,spec,acc,sens,spec,acc,sens,spec
EGN,In-EP_DMN,,tRS1_vRS2,0.917,0.900,0.929,0.917,0.900,0.929,0.708,0.500,0.857,0.750,0.700,0.786
EGN,In-EP_DAN,,tRS2_vRS1,0.708,0.700,0.714,0.833,0.800,0.857,0.708,0.600,0.786,0.583,0.600,0.571
EGN,Out-EP_DMN,,Loocv_RS1,0.750,0.700,0.786,0.750,0.700,0.786,0.375,0.300,0.429,0.583,0.600,0.571
EGN,Out-EP_DAN,,Loocv_RS2,0.750,0.700,0.786,0.833,0.800,0.857,0.625,0.500,0.714,0.542,0.300,0.714
EGN,Net-EP_DMN,,Loocv_conca_RS,0.771,0.750,0.786,0.813,0.750,0.857,0.708,0.600,0.786,0.771,0.700,0.821
EGN,Net-EP_DAN,,Average,0.779,0.750,0.800,0.829,0.790,0.857,0.625,0.500,0.714,0.646,0.580,0.693
,,,,acc,sens,spec,acc,sens,spec,acc,sens,spec,acc,sens,spec
WCoh,,,tRS1_vRS2,0.417,1.000,0.000,0.917,0.800,1.000,0.583,0.700,0.500,0.750,1.000,0.571
WCoh,ip_OVIS-SN_s2,,tRS2_vRS1,0.417,1.000,0.000,0.708,0.700,0.714,0.750,0.900,0.643,0.667,0.500,0.786
WCoh,ip_MVISU-DMN_s2,,Loocv_RS1,0.417,1.000,0.000,0.417,1.000,0.000,0.625,0.600,0.643,0.708,0.800,0.643
WCoh,,,Loocv_RS2,0.417,1.000,0.000,0.792,0.700,0.857,0.875,0.900,0.857,1.000,1.000,1.000
WCoh,,,Loocv_conca_RS,0.417,1.000,0.000,0.729,0.650,0.786,0.729,0.750,0.714,0.729,0.750,0.714
WCoh,,,Average,0.417,1.000,0.000,0.713,0.770,0.671,0.713,0.770,0.671,0.771,0.810,0.743
,,,,acc,sens,spec,acc,sens,spec,acc,sens,spec,acc,sens,spec
sFC,,,tRS1_vRS2,0.875,0.700,1.000,0.875,0.700,1.000,0.875,0.800,0.929,0.458,0.400,0.500
sFC,sFC-DMN-VAN,sFC-DMN-CB,tRS2_vRS1,0.750,0.900,0.643,0.792,0.900,0.714,0.750,1.000,0.571,0.542,0.700,0.429
sFC,sFC-MVISU-DMN,sFC-DAN-SN,Loocv_RS1,0.667,0.600,0.714,0.667,0.600,0.714,0.583,0.400,0.714,0.625,0.500,0.714
sFC,sFC-DMN-LSM,sFC-OVISU-SN,Loocv_RS2,0.833,0.700,0.929,0.750,0.600,0.857,0.750,0.500,0.929,0.833,0.700,0.929
sFC,,,Loocv_conca_RS,0.771,0.700,0.821,0.750,0.700,0.786,0.750,0.550,0.893,0.583,0.500,0.643
sFC,,,Average,0.779,0.720,0.821,0.767,0.700,0.814,0.742,0.650,0.807,0.608,0.560,0.643
,,,,acc,sens,spec,acc,sens,spec,acc,sens,spec,acc,sens,spec
GC,DMN->AUDI,VAN<-DAN,tRS1_vRS2,0.417,1.000,0.000,0.542,0.300,0.714,0.500,0.200,0.714,0.667,0.400,0.857
GC,DAN->FPR,VAN<-SN,tRS2_vRS1,0.417,1.000,0.000,0.708,0.700,0.714,0.500,0.400,0.571,0.667,0.600,0.714
GC,MVISU<-AUDI,FPR<-CB,Loocv_RS1,0.417,1.000,0.000,0.417,1.000,0.000,0.625,0.600,0.643,0.708,0.600,0.786
GC,MVISU<-FPR,netgc_MVISU->CING,Loocv_RS2,0.417,1.000,0.000,0.458,0.600,0.357,0.542,0.600,0.500,0.750,0.800,0.714
GC,LVISU<-OVIS,netgc_LVISU->SN,Loocv_conca_RS,0.417,1.000,0.000,0.729,0.700,0.750,0.563,0.500,0.607,0.604,0.550,0.643
GC,LVISU<-FPR,netgc_DMN->AUDI,Average,0.417,1.000,0.000,0.571,0.660,0.507,0.546,0.460,0.607,0.679,0.590,0.743
GC,OVIS<-AUDI,netgc_FPL->FPR,,,,,,,,,,,,,
