Site,Country,Vendor,Voxel Size (mm3),Flip Angle (deg),TR (sec),Time Points (sec),Subjects,Subjects,Subjects,Subjects,Total-per Site
Site,Country,Vendor,Voxel Size (mm3),Flip Angle (deg),TR (sec),Time Points (sec),ASD,APD,PDD-NOS,NC,Total-per Site
NYU,USA,Siemens,1.3,7,2,175,9,8,5,9,31
SBL,Netherlands,Philips,1,8,2.2,195,9,5,6,9,29
SDSU,USA,GE,1,4.5,2,175,9,6,2,9,26
Trinity,Ireland,Philips,1,8,2,145,-,4,7,-,11
Yale,USA,Siemens,1,9,2,195,9,5,14,9,37
USM,USA,Siemens,1,9,2,235,-,-,1,-,1
KKI,USA,Philips,1,8,2.5,151,-,8,-,-,8
UM1,USA,GE,1.2,15,2,295,-,-,1,-,1
Total,Total,Total,Total,Total,Total,Total,36,36,36,36,144
