Unnamed: 0,MNI coord.,cluster size (mm3),z-value: max (mean)
(a) MCC (Area 33),(a) MCC (Area 33),(a) MCC (Area 33),(a) MCC (Area 33)
L SMG; MCC; ACC,−6 33 58,2268,3.57 (2.29)
L/R Cerebellar lobule VIIIb???,−3 −72 −41,702,4.04 (2.43)
,,,
(b) PCC,(b) PCC,(b) PCC,(b) PCC
L IFG (pars Orbitalis); Insula; STG; Temporal Pole,−36 18 –11,3321,4.24 (2.34)
R/L Calcarine Gyrus (h0c2 - V2); Precuneus,18 –69 22,3294,−2.70 (−2.06)
,,,
(c) L Thalamus (Temporal),(c) L Thalamus (Temporal),(c) L Thalamus (Temporal),(c) L Thalamus (Temporal)
n.a.,n.a.,n.a.,n.a.
,,,
(d) ACC (Area s24/s23),(d) ACC (Area s24/s23),(d) ACC (Area s24/s23),(d) ACC (Area s24/s23)
n.a.,n.a.,n.a.,n.a.
,,,
"(e) L IPL, BA39-BA19 (FG2)","(e) L IPL, BA39-BA19 (FG2)","(e) L IPL, BA39-BA19 (FG2)","(e) L IPL, BA39-BA19 (FG2)"
n.a.,n.a.,n.a.,n.a.
