ROI,Brain Hemispheres,Primary Regions,Brodmann’ Area
RECN1,Right,orbitofrontal gyrus/dorsolateral prefrontal cortex,8/9
RECN2,Right,frontal pole/inferior frontal gyrus,10/46/47
RECN3,Right,inferior parietal lobule,7/39/40
RECN4,Right,middle temporal gyrus,20/37
RECN5,Left,cerebellum,–
RECN6,Right,caudate nucleus,–
LECN1,Left,orbitofrontal gyrus/dorsolateral prefrontal cortex,8/9/46
LECN2,Left,frontal pole/inferior frontal gyrus,10/45/47
LECN3,Left,inferior parietal lobule,7/39/40
LECN4,Left,middle temporal gyrus,20/37
LECN5,Right,cerebellum,–
LECN6,Left,thalamus,–
