Unnamed: 0,RECN1,RECN2,RECN3,RECN4,RECN5,RECN6,LECN1,LECN2,LECN3,LECN4,LECN5,LECN6
RECN1,,,,,,,,,,,,
RECN2,0.67,,,,,,,,,,,
RECN3,0.51,0.19,,,,,,,,,,
RECN4,0.73,0.96,0.48,,,,,,,,,
RECN5,0.77,0.71,0.8,0.37,,,,,,,,
RECN6,0.76,0.22,1.0,0.61,0.9,,,,,,,
LECN1,0.45,0.9,0.63,0.24,0.61,0.87,,,,,,
LECN2,0.78,0.34,0.75,0.76,0.4,0.73,0.41,,,,,
LECN3,0.38,0.77,0.57,0.65,0.46,0.45,0.41,0.87,,,,
LECN4,0.48,0.91,0.08,0.81,0.67,0.66,0.24,0.25,0.2,,,
LECN5,0.17,0.06,0.3,0.16,0.78,0.76,0.5,0.03 *,0.05,0.01 *,,
LECN6,0.05,0.79,0.73,0.61,0.32,0.81,0.73,0.43,0.31,0.98,0.5,
