Seed region,Cluster location,Cluster size,BA,t-value in peak voxel,Peak coordinate in MNI space,Peak coordinate in MNI space,Peak coordinate in MNI space
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,x,y,z
Broca’s area,IFGtriang.L,1252,48.0,39.27,−51,21,15
,TPOsup.R,128,38.0,14.61,48,21,18
,IFGtriang.R,80,14.0,11.53,57,30,9
,MTG.L,307,22.0,11.2,−60,−42,6
,MTG.R,153,21.0,10.43,69,−36,−3
,SFGmed.L,99,9.0,10.07,0,45,39
,ANG.R,51,,8.93,39,−66,36
Wernicke’s area,SMG.L,786,40.0,37.17,−54,−51,30
,SMG.R,391,48.0,13.19,51,−42,30
,MFG.L,157,9.0,12.58,−42,12,45
,ORBinf.R,58,,12.15,51,33,−15
,Cerebellum.R,170,,11.48,33,−69,−42
,ORBinf.L,191,47.0,10.58,−39,42,−15
,IFGoperc.R,59,44.0,10.43,57,18,12
,MFG.R,115,46.0,10.31,42,36,33
,CUN.L,50,,9.91,−9,−75,36
,Cerebellum.L,128,,9.55,−18,−78,−39
