Dynamic topological properties,State,EBG,LBG,p-value,Effect size (Cohen d)
Clustering coefficient (Cw),1,0.27 ± 0.05,0.22 ± 0.04,5.00 e-3*,1.1
,2,0.25 ± 0.05,0.21 ± 0.04,2.40 e-2,
,3,0.27 ± 0.05,0.21 ± 0.04,2.00 e-3*,1.33
,4,0.26 ± 0.04,0.23 ± 0.04,6.44 e-2,
Characteristic path length (Lw),1,5.10 ± 0.40,6.54 ± 1.09,6.00 e-4*,1.75
,2,5.65 ± 1.85,6.16 ± 1.43,3.18 e-1,
,3,5.12 ± 0.84,6.43 ± 1.45,1.36 e-2,
,4,5.51 ± 1.80,5.86 ± 0.79,3.20 e-1,
Global efficiency (Eglob),1,0.24 ± 0.03,0.18 ± 0.02,2.00 e-4*,2.35
,2,0.22 ± 0.04,0.19 ± 0.03,5.00 e-2,
,3,0.24 ± 0.04,0.18 ± 0.03,2.80 e-3*,1.7
,4,0.23 ± 0.04,0.20 ± 0.03,4.04 e-2,
Local efficiency (Eloc),1,0.27 ± 0.05,0.20 ± 0.04,1.20 e-3*,1.55
,2,0.25 ± 0.06,0.20 ± 0.04,2.20 e-2,
,3,0.27 ± 0.05,0.19 ± 0.04,2.20 e-3*,1.77
,4,0.25 ± 0.05,0.22 ± 0.04,4.46 e-2,
