Index,ROI label,Index.1,ROI label.1
1,Striate cortex (Striate),58,Striate cortex (Striate)
2,Extrastriate cortex (ExStr),59,Extrastriate cortex (ExStr)
3,Striate cortex (Striate),60,Striate cortex (Striate)
4,Extrastriate inferior (ExStrInf),61,Extrastriate inferior (ExStrInf)
5,Extrastriate superior (ExStrSup),62,Extrastriate superior (ExStrSup)
6,Somatomotor A (SomMotA),63,Somatomotor A (SomMotA)
7,Central (cent),64,Central (cent)
8,S2 (S2),65,S2 (S2)
9,Insula (Ins),66,Insula (Ins)
10,Auditory (Aud),67,Auditory (Aud)
11,Temporal occipital (TempOcc),68,Temporal occipital (TempOcc)
12,Parietal occipital (ParOcc),69,Parietal occipital (ParOcc)
13,Superior parietal lobule (SPL),70,Superior parietal lobule (SPL)
14,Temporal occipital (TempOcc),71,Temporal occipital (TempOcc)
15,Postcentral (PostC),72,Postcentral (PostC)
16,Frontal eye fields (FEF),73,Frontal eye fields (FEF)
17,Precentral ventral (PrCv),74,Precentral ventral (PrCv)
18,Parietal operculum (ParOper),75,Parietal operculum (ParOper)
19,Precentral ventral (PrCv),76,Precentral (PrC)
20,Insula (Ins),77,Precentral ventral (PrCv)
21,Parietal medial (ParMed),78,Insula (Ins)
22,Frontal medial (FrMed),79,Parietal medial (ParMed)
23,Inferior parietal lobule (IPL),80,Frontal medial (FrMed)
24,Dorsal prefrontal cortex (PFCd),81,Inferior parietal lobule (IPL)
25,Lateral prefrontal cortex (PFCl),82,Dorsal prefrontal cortex (PFCd)
26,Ventral prefrontal cortex (PFCv),83,Lateral prefrontal cortex (PFCl)
27,Orbital frontal cortex (OFC),84,Lateral ventral prefrontal cortex (PFClv)
28,Medial posterior prefrontal cortex (PFCmp),85,Ventral prefrontal cortex (PFCv)
29,Temporal pole (TempPole),86,Medial posterior prefrontal cortex (PFCmp)
30,Orbital frontal cortex (OFC),87,Cingulate anterior (Cinga)
31,Temporal (Temp),88,Temporal pole (TempPole)
32,Intraparietal sulcus (IPS),89,Orbital frontal cortex (OFC)
33,Dorsal prefrontal cortex (PFCd),90,Temporal (Temp)
34,Lateral prefrontal cortex (PFCl),91,Intraparietal sulcus (IPS)
35,Lateral ventral prefrontal cortex (PFClv),92,Dorsal prefrontal cortex (PFCd)
36,Cingulate anterior (Cinga),93,Lateral prefrontal cortex (PFCl)
37,Temporal (Temp),94,Cingulate anterior (Cinga)
38,Inferior parietal lobule (IPL),95,Temporal (Temp)
39,Dorsal prefrontal cortex (PFCd),96,Inferior parietal lobule (IPL)
40,Lateral prefrontal cortex (PFCl),97,Lateral dorsal prefrontal cortex (PFCld)
41,Lateral ventral prefrontal cortex (PFClv),98,Lateral ventral prefrontal cortex (PFClv)
42,Medial posterior prefrontal cortex (PFCmp),99,Medial posterior prefrontal cortex (PFCmp)
43,Precuneus (pCun),100,Precuneus (pCun)
44,Cingulate posterior (Cingp),101,Cingulate posterior (Cingp)
45,Inferior parietal lobule (IPL),102,Temporal (Temp)
46,Dorsal prefrontal cortex (PFCd),103,Inferior parietal lobule (IPL)
47,Posterior cingulate cortex (PCC),104,Dorsal prefrontal cortex (PFCd)
48,Medial prefrontal cortex (PFCm),105,Posterior cingulate cortex (PCC)
49,Temporal (Temp),106,Medial prefrontal cortex (PFCm)
50,Inferior parietal lobule (IPL),107,Temporal (Temp)
51,Dorsal prefrontal cortex (PFCd),108,Anterior temporal (AntTemp)
52,Lateral prefrontal cortex (PFCl),109,Dorsal prefrontal cortex (PFCd)
53,Ventral prefrontal cortex (PFCv),110,Ventral prefrontal cortex (PFCv)
54,Inferior parietal lobule (IPL),111,Inferior parietal lobule (IPL)
55,Retrosplenial (Rsp),112,Retrosplenial (Rsp)
56,Parahippocampal cortex (PHC),113,Parahippocampal cortex (PHC)
57,Temporal parietal (TempPar),114,Temporal parietal (TempPar)
