Region Number,Extrema Value Coordinates,Extrema Value Coordinates,Extrema Value Coordinates,Extrema Value,Brodmann Area,Hemisphere,Lobe,Label
Region Number,x,y,z,Extrema Value,Brodmann Area,Hemisphere,Lobe,Label
1,0,−36,32,0.034,31.0,L,Limbic,Cingulate Gyrus
1,2,−20,36,0.029,24.0,L,Limbic,Cingulate Gyrus
2,8,−16,6,0.031,,R,Sub-lobar,Thalamus
2,−4,−14,6,0.024,,L,Sub-lobar,Thalamus
3,4,12,24,0.018,24.0,R,Limbic,Cingulate Gyrus
3,4,8,42,0.013,24.0,R,Limbic,Cingulate Gyrus
4,14,14,8,0.026,,R,Sub-lobar,Caudate
5,−32,6,54,0.02,6.0,L,Frontal,Middle Frontal Gyrus
6,−44,−70,40,0.021,39.0,L,Parietal,Angular Gyrus
