Total n,21,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sample characteristic,M,SD,HRV measure,HRV measure,M,SD
,,,,,,
age,26.1,(±5.2),Log LF (absolute) in ms2,,,
gender ratio,,,,BL,2.913 (1461.12),±0.405 (±1195.53)
female. n(%),8,38.1,,Cold-pain,2.936 (1537.21),±0.460 (±1686.35)
BMI,22.1,(±2.4),Log HF (absolute) in ms2,,,
rSBPmnHg,118.8,(±9.6),,BL,2.938 (1468.86),±0.403 (±1577.27)
HRBLbpm,52.7,(±10),,Cold-pain,3.022 (1713.5),±0.382 (±1654.64)
HRCold-painbpm,50.8,(±9.9),,,,
VAS (n = 17),45.8,(±22.2),LF/HF,,,
caffeinedrinks p.d.,1.7,(±1.3),,BL,−0.0247,(±0.426)
Cigarettesp.d.,0.5,(±2.3),,Cold-pain,−0.0863,(±0.333)
alc.units p. week,3.2,(±4.8),,,,
