Brain region,Number of voxels,Peak MNI coordinates,Peak MNI coordinates,Peak MNI coordinates,Peak T-value
Unnamed: 0_level_1,Unnamed: 1_level_1,X,Y,Z,Unnamed: 5_level_1
Left temporal pole,114,−50,14,−26,8.27
Left hippocampus/left amygdala,213,−34,−30,−8,8.38
Left medial orbitofrontal cortex,58,−4,50,−14,8.12
Anterior cingulate cortex,67,4,12,−16,6.96
Precuneus/posterior cingulate cortex,262,−2,−60,28,6.63
Right angular,93,60,−56,28,10.00
Left angular,54,−60,−56,30,6.90
Middle cingulate cortex,70,−2,−14,30,5.82
Right insula,138,40,0,0,−6.50
