Graph measures,Hemisphere,Brainnetome regions,Occurrence number
Nodal clustering coefficient,SFG_L_7_2,Superior Frontal Gyrus,144
Degree,SFG_L_7_2,Superior Frontal Gyrus,145
Nodal clustering coefficient,SFG_R_7_2,Superior Frontal Gyrus,140
Participation coefficient,SFG_R_7_7,Superior Frontal Gyrus,144
Betweenness centrality,IFG_L_6_3,Inferior Frontal Gyrus,143
Betweenness centrality,OrG_L_6_2,Orbital Gyrus,143
Betweenness centrality,OrG_R_6_6,Orbital Gyrus,145
Betweenness centrality,PrG_L_6_3,Precentral Gyrus,142
Degree,MTG_L_4_4,Middle Temporal Gyrus,145
Betweenness centrality,MTG_L_4_1,Middle Temporal Gyrus,141
Participation coefficient,ITG_R_7_7,Inferior Temporal Gyrus,145
Betweenness centrality,ITG_R_7_7,Inferior Temporal Gyrus,145
Betweenness centrality,FuG_R_3_3,Fusiform Gyrus,145
Betweenness centrality,PhG_L_6_3,Parahippocampal Gyrus,144
Degree,PhG_R_6_5,Parahippocampal Gyrus,145
Local efficiency,IPL_R_6_4,Inferior Parietal Lobule,145
Participation coefficient,IPL_R_6_4,Inferior Parietal Lobule,145
Degree,IPL_R_6_2,Inferior Parietal Lobule,145
Degree,PCun_L_4_3,Precuneus,145
Nodal clustering coefficient,PoG_R_4_1,Postcentral Gyrus,145
Betweenness centrality,PoG_R_4_1,Postcentral Gyrus,145
Local efficiency,PoG_R_4_1,Postcentral Gyrus,143
Degree,PoG_R_4_1,Postcentral Gyrus,145
Participation coefficient,CG_L_7_4,Cingulate Gyrus,145
Betweenness centrality,CG_R_7_3,Cingulate Gyrus,145
Participation coefficient,LOcC_L_4_3,lateral Occipital Cortex,145
Degree,BG_R_6_1,Basal Ganglia,145
Betweenness centrality,BG_R_6_4,Basal Ganglia,145
Participation coefficient,Tha_L_8_8,Thalamus,145
Degree,Tha_L_8_5,Thalamus,145
Degree,Tha_R_8_8,Thalamus,145
Nodal clustering coefficient,Tha_R_8_7,Thalamus,140
Local efficiency,Tha_R_8_7,Thalamus,141
