Brain regions,Cluster size (voxels),Peak intensity,MNI coordinates
LPI group,,,
CBE lobule VIII_L,293.0,5.550,"(−20, −68, −60)"
CBE lobule VIIB_R,181.0,5.691,"(44, −64, −54)"
CBE Crus I_L,109.0,3.959,"(−52, −48, −38)"
IFG_L,140.0,5.599,"(62, −18, −28)"
INS_L,77.0,4.744,"(−30, 34, −20)"
ITG_R,219.0,5.268,"(−42, −16, 2)"
MTG_R,176.0,5.481,"(66, −42, 8)"
PCUN_R,343.0,–4.736,"(8, 50, 66)"
SPG_L,301.0,–4.611,"(−24, −58, 66)"
RPI group,,,
CBE lobule VIII_L,355.0,5.773,"(−38, −42, −46)"
CBE lobule VI_R,440.0,5.698,"(20, −60, −28)"
CBE Crus II_R,87.0,5.009,"(16, −88, −32)"
SFG_R,79.0,–4.733,"(22, 26, 64)"
PreCG_R,87.0,–4.322,"(20, −20, 80)"
