ROI (Network),ROI (Network).1,T-stat,p-unc,p-FDR
Meditators resting state,Meditators resting state,Meditators resting state,Meditators resting state,Meditators resting state
ACC (Salience),PCC (DMN),4.73,0.0005,0.0047
ACC (Salience),Precuneus (DMN),5.09,0.0003,0.0047
rPFC-R (Salience),PCC (DMN),5.32,0.0002,0.0017
rPFC-R (Salience),Precuneus (DMN),5.98,0.0001,0.0012
Meditators focused breathing,Meditators focused breathing,Meditators focused breathing,Meditators focused breathing,Meditators focused breathing
SMG-L (Salience),rPFC-R (Salience),–3.8,0.0025,0.0293
SMG-L (Salience),rPFC-L (Salience),–3.51,0.0043,0.0293
SMG-L (Salience),ACC (Salience),–3.47,0.0046,0.0293
PCC (DMN),Precuneus (DMN),–3.9,0.021,0.0404
Precuneus (DMN),Precuneus (DMN),–3.9,0.021,0.0404
